Date,Open,High,Low,Close,Volume
20160104,26.337,26.575,26.277,26.575,1173594.914
20160105,26.575,26.842,26.505,26.773,1454009.577
20160106,26.584,26.773,26.525,26.684,938081.766
20160107,26.535,26.713,26.535,26.684,1489646.955
20160108,26.713,26.763,26.436,26.476,1393355.483
20160111,26.525,26.763,26.505,26.694,1339793.764
20160112,26.684,26.773,26.466,26.733,1633870.995
20160113,26.664,26.753,26.535,26.634,1710353.838
20160114,26.644,26.793,26.624,26.674,1655449.671
20160115,26.614,26.753,26.555,26.684,1844650.919
20160119,26.664,26.882,26.654,26.842,1492269.359
20160120,26.703,26.813,26.466,26.694,2958582.910
20160121,26.644,26.793,26.555,26.763,1611815.588
20160122,26.763,26.862,26.733,26.823,1471209.877
20160125,26.773,26.842,26.713,26.753,1469413.053
20160126,26.763,26.951,26.753,26.823,1662307.537
20160127,26.783,26.991,26.743,26.981,1872794.092
20160128,26.971,27.209,26.902,27.090,2515820.521
20160129,27.100,27.180,26.872,26.892,3013709.773
20160201,26.961,27.160,26.922,27.160,1933940.436
20160202,27.080,27.219,27.051,27.110,1924662.218
20160203,27.150,27.219,27.075,27.100,1801156.994
20160204,27.100,27.170,27.080,27.130,1363710.220
20160205,27.080,27.180,26.951,27.051,3020152.458
20160208,27.021,27.061,26.862,26.942,2030468.561
20160209,26.922,27.199,26.922,27.120,2768371.485
20160210,27.170,27.355,27.090,27.130,2067088.000
20160211,27.120,27.230,27.060,27.100,1832857.000
20160212,27.130,27.340,27.090,27.180,2327102.000
20160216,27.300,27.300,27.130,27.210,3437673.000
20160217,27.220,27.320,27.150,27.240,2186930.000
20160218,27.230,27.450,27.230,27.430,3464071.000
20160219,27.400,27.450,27.250,27.445,3211243.000
20160222,27.430,27.540,27.420,27.530,2032953.000
20160223,27.520,27.530,27.430,27.450,1562046.000
20160224,27.430,27.500,27.420,27.480,2153690.000
20160225,27.490,27.500,27.420,27.480,1813071.000
20160226,27.480,27.530,27.300,27.480,3207729.000
20160229,27.490,27.520,27.370,27.460,3911476.000
20160301,27.500,27.540,27.430,27.480,2399969.000
20160302,27.490,27.500,27.420,27.465,2361903.000
20160303,27.440,27.490,27.420,27.490,1861217.000
20160304,27.450,27.510,27.430,27.500,2700874.000
20160307,27.460,27.510,27.425,27.510,1646177.000
20160308,27.490,27.500,27.445,27.450,1731049.000
20160309,27.470,27.490,27.440,27.450,1856856.000
20160310,27.460,27.490,27.420,27.460,3018184.000
20160311,27.470,27.480,27.430,27.450,1709259.000
20160314,27.440,27.510,27.430,27.500,1960255.000
20160315,27.450,27.480,27.430,27.480,1915799.000
20160316,27.450,27.550,27.430,27.550,3221511.000
20160317,27.510,27.570,27.440,27.540,2643592.000
20160318,27.500,27.540,27.430,27.430,3213593.000
20160321,27.450,27.530,27.425,27.500,1425211.000
20160322,27.470,27.490,27.430,27.440,2249970.000
20160323,27.450,27.500,27.430,27.490,848647.000
20160324,27.460,27.520,27.450,27.510,1710886.000
