Date,Open,High,Low,Close,Volume
20160104,45.240,46.160,44.625,45.490,604466.000
20160105,45.970,46.210,44.790,45.340,670340.000
20160106,44.480,44.710,43.050,43.290,496577.000
20160107,42.000,42.940,41.080,41.560,471040.000
20160108,42.370,42.670,41.130,41.230,694016.000
20160111,41.290,41.650,40.650,41.420,744405.000
20160112,42.160,42.310,40.240,41.380,800435.000
20160113,41.970,41.970,37.960,38.170,1075266.000
20160114,38.270,38.880,35.980,38.370,1282359.000
20160115,36.980,38.420,36.850,38.350,1132044.000
20160119,38.730,38.790,37.730,38.290,849177.000
20160120,37.660,38.250,36.470,37.530,1296355.000
20160121,37.880,38.420,37.270,37.600,803486.000
20160122,38.800,39.360,37.490,37.930,589990.000
20160125,37.580,37.820,36.220,36.390,533510.000
20160126,36.940,37.480,36.680,37.430,764870.000
20160127,37.240,38.040,36.891,37.130,533112.000
20160128,37.670,37.750,36.570,37.150,645421.000
20160129,37.290,38.220,37.070,38.210,784179.000
20160201,37.990,38.130,37.130,38.000,965678.000
20160202,37.590,38.020,36.320,36.480,854226.000
20160203,37.000,37.000,34.950,36.270,472468.000
20160204,36.180,37.350,35.890,37.230,637800.000
20160205,36.880,37.990,36.600,36.700,618496.000
20160208,36.000,36.240,34.450,35.610,704213.000
20160209,36.380,40.920,36.250,40.160,1925898.000
20160210,40.660,43.360,40.566,41.350,1133595.000
20160211,41.370,44.710,41.000,41.520,1343975.000
20160212,42.470,43.215,41.710,42.920,1004867.000
20160216,43.330,45.120,43.115,44.740,785818.000
20160217,45.280,46.860,45.010,45.610,711738.000
20160218,45.730,46.315,44.570,45.080,481874.000
20160219,44.740,45.060,44.000,44.540,596651.000
20160222,45.190,45.810,44.880,45.540,474068.000
20160223,45.160,45.620,44.090,44.100,486480.000
20160224,43.320,44.750,42.800,44.670,840167.000
20160225,44.660,45.420,44.400,45.350,315579.000
20160226,45.750,45.950,45.190,45.750,272601.000
20160229,45.970,46.780,45.270,45.500,558081.000
20160301,46.350,47.670,45.910,47.520,588385.000
20160302,47.530,48.190,46.910,47.330,417058.000
20160303,47.380,48.310,47.110,48.200,390584.000
20160304,48.390,48.560,46.450,47.610,585234.000
20160307,47.300,48.390,47.150,48.130,414960.000
20160308,47.490,47.740,46.480,46.700,402556.000
20160309,46.920,47.590,46.610,47.570,319610.000
20160310,47.620,48.140,46.180,46.970,301778.000
20160311,47.440,48.990,47.350,48.920,532348.000
20160314,48.430,49.230,48.130,49.020,440923.000
20160315,48.080,48.930,48.080,48.680,386528.000
20160316,48.720,50.420,48.665,50.330,420223.000
20160317,50.300,51.225,49.610,50.960,480983.000
20160318,51.410,51.740,50.540,51.490,557224.000
20160321,51.440,51.495,50.080,51.000,276245.000
20160322,50.470,52.170,50.110,51.360,395967.000
20160323,51.090,51.420,49.850,49.970,398785.000
20160324,49.460,50.350,48.960,50.190,195239.000
