Date,Open,High,Low,Close,Volume
20160104,20.275,20.414,20.060,20.265,2194660.511
20160105,20.344,20.534,20.175,20.444,1958290.134
20160106,20.065,20.215,19.806,19.976,1881657.441
20160107,19.627,19.826,19.397,19.457,1959243.274
20160108,19.517,19.582,18.999,19.039,1909004.816
20160111,19.228,19.258,18.899,19.158,1674583.453
20160112,19.417,19.547,19.128,19.367,2353942.717
20160113,19.378,19.437,18.799,18.889,1768921.328
20160114,19.009,19.642,18.824,19.358,2808269.306
20160115,18.650,18.989,18.490,18.919,2085520.571
20160119,19.218,19.278,18.914,19.128,2106323.922
20160120,19.208,19.547,18.759,19.348,2363182.873
20160121,19.437,19.572,19.128,19.303,2172730.750
20160122,19.647,19.926,19.512,19.726,1495484.329
20160125,19.686,19.761,19.328,19.367,1584794.492
20160126,19.437,19.846,19.318,19.756,2430750.165
20160127,19.716,20.494,19.716,19.886,4026399.885
20160128,21.271,21.271,18.470,18.909,7602956.811
20160129,19.069,19.696,18.989,19.358,5441250.542
20160201,19.188,19.507,19.019,19.407,3304892.965
20160202,19.138,19.477,18.690,18.739,2514847.534
20160203,18.660,18.859,18.301,18.480,3008077.142
20160204,18.490,18.909,18.451,18.630,2063958.259
20160205,18.500,18.530,18.191,18.291,2052493.326
20160208,18.062,18.151,17.723,17.892,2186479.873
20160209,17.713,18.072,17.648,17.718,1933171.048
20160210,17.783,18.191,17.713,17.872,2530025.610
20160211,17.583,17.773,17.284,17.474,1807007.453
20160212,17.643,17.703,17.394,17.653,1275043.962
20160216,17.832,18.411,17.832,18.181,2146015.713
20160217,18.311,18.819,18.291,18.660,2019238.873
20160218,18.759,18.879,18.620,18.730,1748763.063
20160219,18.730,18.989,18.680,18.769,1582300.212
20160222,18.919,19.058,18.700,18.809,1266672.973
20160223,18.779,18.909,18.570,18.590,1126348.566
20160224,18.420,19.000,18.420,18.960,1416309.000
20160225,18.980,19.250,18.830,19.250,1440285.000
20160226,19.420,19.420,19.040,19.120,1346164.000
20160229,19.170,19.330,19.050,19.070,1255627.000
20160301,19.280,19.650,19.100,19.560,1328830.000
20160302,19.490,19.700,19.430,19.600,1318959.000
20160303,19.640,19.780,19.490,19.760,832746.000
20160304,19.840,19.890,19.535,19.680,1214999.000
20160307,19.560,20.000,19.510,19.970,1334944.000
20160308,19.870,19.870,19.325,19.560,1303758.000
20160309,19.610,19.690,19.500,19.640,1703903.000
20160310,19.750,20.000,19.630,19.840,1075821.000
20160311,20.000,20.280,19.930,20.160,1079967.000
20160314,20.060,20.225,19.930,20.040,821570.000
20160315,19.970,20.300,19.880,20.260,1206025.000
20160316,20.280,20.640,20.110,20.600,1957392.000
20160317,20.660,20.890,20.470,20.800,1240494.000
20160318,20.900,21.470,20.780,21.240,2817228.000
20160321,21.170,21.350,20.865,21.320,1623541.000
20160322,21.180,21.390,21.080,21.220,1133205.000
20160323,21.180,21.200,20.980,21.060,1111673.000
20160324,20.880,21.090,20.800,21.080,787905.000
