Date,Open,High,Low,Close,Volume
20160104,71.249,73.104,70.942,72.975,6623692.510
20160105,73.133,74.621,72.995,74.239,7588232.600
20160106,72.995,74.185,72.776,73.471,4565802.213
20160107,72.975,75.375,72.885,73.183,9485422.430
20160108,73.600,74.175,70.684,70.832,7054891.610
20160111,70.942,72.151,69.930,71.824,5433917.150
20160112,72.370,72.945,72.032,72.786,4556784.680
20160113,72.687,72.925,70.961,71.041,5712776.950
20160114,71.031,71.100,69.424,69.801,5844992.060
20160115,68.269,70.009,68.269,69.493,6785138.741
20160119,69.890,69.980,68.135,68.660,5328454.560
20160120,67.659,68.055,65.913,67.024,8697974.883
20160121,67.510,69.097,66.979,68.055,6454865.690
20160122,68.611,69.404,68.571,69.136,3547498.870
20160125,69.196,69.414,68.284,68.373,4076420.184
20160126,68.819,70.069,68.442,69.841,3726308.800
20160127,69.632,71.289,69.504,70.109,3705604.863
20160128,70.723,70.852,69.603,70.396,3497381.398
20160129,70.555,71.933,70.247,71.777,4321737.691
20160201,70.555,72.608,69.751,72.231,4208895.788
20160202,72.112,72.806,71.725,72.717,4366734.079
20160203,73.213,73.332,71.011,71.933,4616358.759
20160204,70.089,70.089,68.561,69.484,7373806.190
20160205,69.206,70.178,68.879,68.998,3510340.866
20160208,68.611,69.712,67.679,69.424,5094877.870
20160209,69.226,69.889,68.397,69.285,4820207.600
20160210,69.851,70.118,68.006,68.204,3822472.630
20160211,67.758,68.601,67.094,67.510,3548365.790
20160212,68.030,69.980,67.430,69.940,4006414.000
20160216,70.620,71.560,69.690,71.500,3536568.000
20160217,72.120,72.650,71.520,72.110,4329089.000
20160218,70.950,72.670,69.508,72.530,5143391.000
20160219,72.200,72.320,70.560,72.320,4015012.000
20160222,72.510,73.259,72.260,72.460,4323176.000
20160223,72.830,74.380,72.665,73.990,5418688.000
20160224,74.390,77.000,73.400,76.910,13713374.000
20160225,77.000,78.820,76.160,78.610,6894418.000
20160226,78.900,78.980,77.320,78.430,4765868.000
20160229,78.270,79.170,78.020,78.420,3924818.000
20160301,79.100,81.050,78.880,80.950,6754625.000
20160302,80.880,81.640,80.180,81.090,8299347.000
20160303,80.510,80.690,78.570,79.770,10571131.000
20160304,80.030,81.600,79.460,81.140,5699484.000
20160307,80.780,81.200,80.250,80.810,4398021.000
20160308,80.550,81.400,80.460,80.530,3535656.000
20160309,81.000,81.520,80.590,81.180,3086195.000
20160310,81.610,82.030,80.300,81.510,4394049.000
20160311,81.890,82.450,81.510,81.870,3517202.000
20160314,81.850,82.100,81.270,81.750,3245052.000
20160315,81.360,81.910,81.180,81.670,2917649.000
20160316,81.890,82.445,80.960,82.410,3695232.000
20160317,82.140,83.320,82.140,83.000,5235713.000
20160318,83.370,84.000,82.700,82.710,5301349.000
20160321,82.500,82.900,82.130,82.170,3927653.000
20160322,82.390,82.620,81.650,81.810,4421032.000
20160323,81.730,82.350,81.500,81.580,3726182.000
20160324,81.070,82.175,81.070,82.030,3695101.000
