Date,Open,High,Low,Close,Volume
20160104,56.570,56.570,55.240,56.330,828197.000
20160105,56.260,57.190,56.170,57.030,974822.000
20160106,56.190,56.370,55.640,55.910,722606.000
20160107,54.830,55.530,54.620,54.960,1090308.000
20160108,55.370,55.570,54.370,54.430,776151.000
20160111,54.520,54.960,53.880,54.440,926943.000
20160112,55.060,55.060,54.220,54.610,890257.000
20160113,55.060,55.630,53.090,53.540,977261.000
20160114,53.700,54.170,52.989,53.890,632368.000
20160115,52.620,53.350,52.430,52.960,821129.000
20160119,53.680,53.820,52.500,52.880,675108.000
20160120,52.000,52.200,50.560,51.660,802255.000
20160121,51.710,52.610,51.520,51.800,709793.000
20160122,52.560,53.290,52.370,53.110,714529.000
20160125,52.930,53.150,52.180,52.230,542807.000
20160126,52.480,53.280,52.160,52.900,534491.000
20160127,52.640,53.610,52.260,52.510,526576.000
20160128,52.910,53.160,52.460,52.990,630912.000
20160129,53.290,54.360,52.830,54.340,552069.000
20160201,53.920,54.630,53.520,54.320,707386.000
20160202,53.170,53.710,52.540,52.780,930406.000
20160203,53.200,53.280,51.770,52.240,1307697.000
20160204,52.500,54.120,51.950,52.390,1830752.000
20160205,52.460,53.200,52.200,52.800,1081410.000
20160208,52.040,52.090,50.330,51.230,1119009.000
20160209,50.690,51.510,50.360,51.110,758649.000
20160210,51.410,51.870,50.860,51.060,829732.000
20160211,49.570,50.060,48.470,48.570,1605718.000
20160212,49.310,50.170,49.190,50.110,678300.000
20160216,50.440,51.240,50.220,51.080,751576.000
20160217,51.700,52.440,51.700,52.280,496804.000
20160218,52.300,52.390,51.920,52.050,414526.000
20160219,51.700,51.990,51.360,51.880,571981.000
20160222,52.420,52.660,52.210,52.470,364981.000
20160223,52.390,52.440,51.510,51.830,445935.000
20160224,49.340,50.870,49.010,50.640,1145065.000
20160225,50.770,51.450,50.770,51.410,501119.000
20160226,51.910,52.580,51.610,52.180,518609.000
20160229,52.050,52.270,51.210,51.210,527368.000
20160301,51.620,53.010,51.560,52.980,647485.000
20160302,53.100,53.470,52.810,53.440,621542.000
20160303,53.360,53.680,53.110,53.300,584226.000
20160304,53.740,53.740,53.030,53.450,616304.000
20160307,52.990,53.720,52.940,53.690,428150.000
20160308,53.100,53.380,52.320,52.620,546488.000
20160309,53.000,53.480,52.490,52.840,475062.000
20160310,53.090,53.470,52.190,52.910,478216.000
20160311,53.620,54.915,53.450,54.820,563703.000
20160314,54.640,54.940,54.380,54.695,409895.000
20160315,54.140,54.640,53.900,54.600,351972.000
20160316,54.460,55.190,54.310,54.990,427153.000
20160317,54.930,56.070,54.720,55.760,675502.000
20160318,56.010,56.120,55.430,55.710,1011247.000
20160321,55.550,56.480,55.220,55.440,696276.000
20160322,54.960,55.460,54.680,55.120,455094.000
20160323,55.140,55.210,54.690,54.690,329523.000
20160324,54.200,54.490,53.630,54.140,484293.000
