Date,Open,High,Low,Close,Volume
20160104,38.860,39.020,38.460,38.940,4054771.000
20160105,38.900,40.500,38.730,40.200,5203582.000
20160106,39.560,40.380,39.330,40.050,6619250.000
20160107,39.380,40.680,39.250,40.510,7555109.000
20160108,40.410,41.230,39.780,39.880,3224285.000
20160111,39.960,39.980,39.170,39.680,3655980.000
20160112,39.830,40.120,39.380,40.060,3031460.000
20160113,40.160,40.450,38.830,38.850,3079099.000
20160114,38.780,39.715,37.990,39.380,3270725.000
20160115,37.990,38.900,36.790,37.790,4701549.000
20160119,38.150,38.230,37.440,37.650,2151216.000
20160120,37.150,37.660,35.490,37.350,4528415.000
20160121,37.400,37.910,36.770,37.090,3408372.000
20160122,37.860,38.060,37.490,37.850,3695221.000
20160125,37.970,38.970,37.500,37.870,2656326.000
20160126,38.170,39.680,38.170,39.430,2501514.000
20160127,39.420,39.490,38.350,38.500,2051383.000
20160128,38.640,38.900,38.160,38.670,1237098.000
20160129,39.440,40.170,38.850,40.150,3008523.000
20160201,39.950,40.650,39.460,40.590,3000179.000
20160202,40.030,40.250,38.990,39.280,2549527.000
20160203,39.550,39.990,37.230,38.330,4910171.000
20160204,38.820,38.995,37.750,38.690,3413231.000
20160205,39.050,39.085,35.390,35.660,7174870.000
20160208,35.420,35.530,33.530,33.960,6168058.000
20160209,33.750,34.390,33.230,33.900,4344775.000
20160210,34.310,35.195,33.710,34.590,3425684.000
20160211,33.780,34.420,33.600,34.020,3550034.000
20160212,34.590,35.270,34.010,35.120,2990951.000
20160216,35.780,36.535,35.050,36.470,4203197.000
20160217,38.250,38.310,35.860,36.840,9261400.000
20160218,37.110,37.450,36.450,36.630,3697772.000
20160219,36.330,36.650,34.865,34.950,4763059.000
20160222,35.560,35.980,35.280,35.820,4740605.000
20160223,35.800,36.400,35.520,36.210,2346472.000
20160224,36.160,36.930,35.815,36.790,3447513.000
20160225,36.870,38.440,36.870,38.360,4122197.000
20160226,37.360,37.790,36.570,37.465,4562816.000
20160229,37.480,38.015,37.090,37.110,3932054.000
20160301,37.030,38.690,37.000,38.690,3974786.000
20160302,38.540,38.815,37.690,38.765,2435559.000
20160303,39.500,39.790,38.770,38.970,5327234.000
20160304,39.120,39.510,38.380,38.480,3236486.000
20160307,38.240,39.200,38.060,38.630,4238088.000
20160308,38.620,39.100,38.330,38.950,4424521.000
20160309,39.000,39.030,38.160,38.200,5531689.000
20160310,38.480,38.750,37.470,37.570,5042617.000
20160311,37.840,38.150,37.470,37.750,6461786.000
20160314,37.500,37.570,36.695,37.090,3830788.000
20160315,36.760,36.930,36.260,36.755,3367620.000
20160316,36.800,37.240,36.485,37.180,4831011.000
20160317,37.180,37.520,36.960,37.170,4567560.000
20160318,37.340,37.620,36.750,36.940,5402287.000
20160321,37.350,37.490,36.910,37.350,2542043.000
20160322,36.920,37.410,36.850,37.280,2345692.000
20160323,37.170,37.260,36.270,37.080,2593251.000
20160324,36.850,37.100,36.440,37.000,2363089.000
