Date,Open,High,Low,Close,Volume
20160104,83.640,83.760,82.020,82.970,1628420.000
20160105,83.390,83.970,80.950,81.930,1323315.000
20160106,81.340,81.740,79.230,80.120,2156079.000
20160107,78.330,78.940,76.810,77.690,1853016.000
20160108,77.770,78.580,75.900,76.180,1258732.000
20160111,76.660,77.310,75.600,76.930,1284213.000
20160112,77.180,78.800,76.330,77.350,1126236.000
20160113,77.480,78.000,71.580,72.940,2564845.000
20160114,73.210,73.360,69.270,71.920,2739111.000
20160115,69.770,70.690,68.880,70.630,2806184.000
20160119,71.340,72.340,70.060,71.190,1696830.000
20160120,70.030,70.790,65.780,69.260,2344661.000
20160121,69.290,72.469,68.170,69.500,1310695.000
20160122,70.680,72.450,69.770,70.650,889553.000
20160125,70.650,71.030,69.220,69.470,697386.000
20160126,69.930,70.440,67.440,69.690,2268699.000
20160127,65.890,69.140,65.420,67.540,3111636.000
20160128,67.270,68.100,65.000,67.320,2596159.000
20160129,67.310,68.168,66.370,66.700,2334771.000
20160201,66.420,67.640,65.800,67.220,1687506.000
20160202,66.470,66.800,62.100,63.000,2791608.000
20160203,63.700,64.130,60.880,62.770,1945811.000
20160204,62.850,64.520,62.310,63.810,1655867.000
20160205,63.270,63.550,57.290,58.370,4965323.000
20160208,57.010,57.840,55.280,55.880,4132164.000
20160209,55.320,57.170,53.510,54.090,2421668.000
20160210,54.900,55.990,53.480,54.350,4455907.000
20160211,60.920,64.750,59.490,61.080,9079590.000
20160212,61.000,61.070,57.850,59.900,4010417.000
20160216,60.140,63.470,59.950,63.320,2893648.000
20160217,65.010,67.000,64.070,65.360,3230584.000
20160218,65.410,65.990,62.380,63.060,2111182.000
20160219,62.700,63.770,61.380,63.420,1702046.000
20160222,61.800,63.510,61.370,63.100,1714662.000
20160223,63.000,63.210,60.385,60.680,2369655.000
20160224,60.000,61.155,58.530,60.670,2435059.000
20160225,60.830,62.070,59.760,62.070,1190574.000
20160226,61.630,63.000,61.630,62.380,1596916.000
20160229,62.280,63.310,61.810,62.610,1998494.000
20160301,63.210,66.390,62.730,66.090,2856677.000
20160302,66.570,66.570,64.530,65.330,1736162.000
20160303,65.050,66.620,64.450,65.570,1510687.000
20160304,65.850,65.915,64.210,65.080,1516397.000
20160307,65.040,66.240,63.700,65.490,1880664.000
20160308,65.110,65.950,62.490,62.560,1808544.000
20160309,62.650,62.810,60.010,60.980,2578101.000
20160310,61.450,61.860,59.330,61.030,2055914.000
20160311,61.770,63.750,61.380,63.700,1500196.000
20160314,63.080,68.290,63.050,66.520,5377314.000
20160315,66.430,66.970,65.550,66.800,2114950.000
20160316,66.820,67.750,66.440,67.470,1813122.000
20160317,67.220,68.220,65.250,65.320,1864234.000
20160318,65.150,65.300,63.450,64.310,4155504.000
20160321,64.400,65.790,64.345,65.710,1383933.000
20160322,63.940,65.080,63.650,64.040,1916415.000
20160323,64.160,64.340,61.500,61.740,2026458.000
20160324,61.720,62.440,60.500,62.240,1607904.000
