Date,Open,High,Low,Close,Volume
20160104,69.410,69.688,68.656,69.668,2175485.971
20160105,69.867,70.283,69.380,69.946,1341905.965
20160106,68.626,68.889,68.110,68.397,1611028.331
20160107,67.157,67.792,66.164,66.561,2089177.037
20160108,66.958,67.187,64.794,64.884,2014237.645
20160111,65.211,65.489,63.861,64.517,1975279.390
20160112,65.211,66.343,64.675,66.204,2720388.325
20160113,66.472,67.256,64.219,64.388,2213593.584
20160114,64.665,65.663,63.871,65.082,2146227.358
20160115,63.375,65.002,63.097,64.457,2579118.190
20160119,65.410,66.045,64.586,65.062,1910474.156
20160120,63.891,65.281,63.276,64.596,2517472.812
20160121,64.844,66.760,64.606,65.092,1955883.802
20160122,66.273,66.939,65.767,66.928,1389089.833
20160125,66.581,66.780,64.804,64.924,1526998.408
20160126,65.281,66.184,64.953,66.135,1450706.934
20160127,66.174,67.066,65.013,65.747,2109670.612
20160128,67.742,70.273,67.504,67.911,2903884.340
20160129,68.001,70.631,67.931,70.422,2384621.140
20160201,69.916,70.105,68.884,69.638,2178870.745
20160202,68.407,68.904,67.286,67.534,2565838.307
20160203,67.951,68.556,65.906,68.129,2201271.879
20160204,67.901,69.301,67.891,69.261,3099338.999
20160205,68.884,69.390,67.857,68.139,2449381.852
20160208,67.087,67.256,63.772,65.469,4103575.747
20160209,64.715,66.651,64.328,66.005,2208523.854
20160210,66.958,67.842,66.055,66.095,1429281.421
20160211,64.179,65.708,64.169,64.973,1727480.282
20160212,66.422,67.062,65.489,67.038,1203115.642
20160216,67.991,68.298,67.226,67.961,1361672.829
20160217,68.745,70.174,68.214,69.737,1731362.021
20160218,69.996,70.065,68.487,68.914,1498441.089
20160219,68.626,68.884,67.822,68.358,1412439.762
20160222,69.201,69.718,68.626,69.370,1211965.398
20160223,69.261,69.747,67.762,68.090,1175781.396
20160224,66.839,68.566,65.777,68.447,1444366.747
20160225,68.675,69.132,67.648,69.112,940553.792
20160226,69.986,70.154,68.785,69.182,936492.540
20160229,69.241,69.708,68.576,68.606,1105365.530
20160301,69.410,70.869,69.083,70.859,1645173.158
20160302,70.631,71.157,69.926,71.137,1204985.384
20160303,71.226,71.812,70.730,71.802,1040390.357
20160304,71.733,72.735,71.435,72.239,1280739.834
20160307,71.812,72.467,71.465,72.010,1092433.328
20160308,71.435,72.060,71.028,71.435,1502276.447
20160309,71.663,71.832,70.373,70.988,1285437.856
20160310,71.316,71.365,69.678,70.750,881518.826
20160311,71.365,72.288,71.048,72.070,1191868.734
20160314,71.880,72.320,71.510,71.670,958848.000
20160315,70.790,70.910,69.900,70.600,1651940.000
20160316,70.150,71.610,69.950,71.320,1028489.000
20160317,71.420,73.810,71.300,73.220,1529504.000
20160318,72.920,73.890,72.190,73.610,1555124.000
20160321,73.240,73.700,72.670,73.360,966185.000
20160322,72.940,73.620,72.630,73.090,828447.000
20160323,73.050,73.520,72.240,73.100,949652.000
20160324,72.330,72.620,72.050,72.510,1022951.000
