Date,Open,High,Low,Close,Volume
20160104,83.306,84.303,82.558,83.545,1600217.098
20160105,83.615,84.892,82.937,83.485,989798.609
20160106,82.288,82.877,81.570,82.348,945244.126
20160107,80.931,83.535,80.612,82.288,1435640.394
20160108,82.198,83.376,81.490,81.670,1248943.464
20160111,82.318,83.086,81.041,82.458,1185610.926
20160112,82.767,84.583,82.478,84.453,912043.844
20160113,85.201,85.201,80.911,81.370,3766224.532
20160114,81.530,84.109,80.004,82.807,2123548.193
20160115,80.472,82.548,80.223,81.281,1726312.595
20160119,82.009,84.004,81.410,83.246,1468614.462
20160120,82.338,83.056,79.854,81.300,2152340.358
20160121,81.769,84.463,81.301,83.106,1896212.326
20160122,85.201,85.221,83.690,84.643,993460.182
20160125,84.473,85.072,83.206,83.296,1228315.237
20160126,83.735,85.541,83.266,85.531,1325822.150
20160127,86.059,86.419,83.336,84.024,1587761.404
20160128,82.418,85.341,78.208,84.787,2793396.642
20160129,85.411,88.354,85.231,88.045,1505281.653
20160201,87.247,87.376,85.092,86.518,1447766.570
20160202,85.491,86.907,85.401,85.880,948016.513
20160203,86.289,86.419,83.156,84.473,1611563.749
20160204,84.333,84.882,81.370,83.575,1688728.224
20160205,83.186,83.994,80.373,80.582,1281510.987
20160208,79.934,80.263,77.859,79.644,1512481.199
20160209,79.245,82.258,79.215,81.261,1546746.899
20160210,82.159,83.605,81.420,81.719,933952.090
20160211,79.704,82.069,79.704,81.510,997516.510
20160212,82.308,83.505,81.550,83.276,641762.391
20160216,84.264,85.650,83.525,85.341,924630.170
20160217,85.950,86.497,85.311,85.800,822043.662
20160218,85.690,85.960,84.000,84.530,866744.000
20160219,84.130,84.770,83.120,84.600,667756.000
20160222,85.320,86.930,84.880,86.390,904211.000
20160223,86.250,87.120,84.680,84.890,702840.000
20160224,83.920,85.850,83.280,85.560,996355.000
20160225,85.920,85.920,84.210,85.500,708730.000
20160226,85.950,86.030,84.270,84.790,664172.000
20160229,84.700,86.450,84.530,84.580,576232.000
20160301,85.300,87.740,84.690,87.630,944950.000
20160302,87.090,87.730,85.820,87.190,675431.000
20160303,86.820,87.140,85.320,86.380,797257.000
20160304,86.310,87.970,85.840,87.340,526603.000
20160307,86.630,87.070,85.250,85.810,810944.000
20160308,85.300,86.810,85.080,85.920,730905.000
20160309,86.510,88.370,86.260,86.830,785929.000
20160310,87.490,89.980,87.160,88.830,1637056.000
20160311,89.750,90.530,89.280,90.310,1011487.000
20160314,89.580,90.670,89.035,90.080,684442.000
20160315,90.000,90.760,89.550,90.090,643155.000
20160316,89.520,90.100,88.690,89.580,670861.000
20160317,88.930,89.570,87.860,88.740,834962.000
20160318,89.170,90.020,88.180,89.290,1180139.000
20160321,89.410,90.000,89.040,89.540,417196.000
20160322,89.260,89.590,88.680,89.070,603927.000
20160323,89.160,89.520,88.340,89.090,650566.000
20160324,89.350,89.470,88.240,88.700,471713.000
