Date,Open,High,Low,Close,Volume
20160104,52.322,53.020,52.262,52.840,3339400.543
20160105,52.172,52.312,50.885,52.182,4663795.801
20160106,51.603,52.751,51.384,52.152,4563118.613
20160107,51.404,52.312,51.314,52.022,3950981.991
20160108,52.422,52.870,52.042,52.162,4170660.111
20160111,52.372,53.025,52.162,52.591,4397861.915
20160112,52.541,53.589,52.392,53.459,3022075.297
20160113,53.549,53.828,52.751,52.990,3780175.970
20160114,52.930,53.060,52.361,52.771,3701794.960
20160115,51.703,52.521,49.877,51.374,8883069.427
20160119,51.404,51.972,49.209,49.558,6383946.230
20160120,48.540,50.246,48.410,49.847,5880808.630
20160121,49.887,51.174,49.558,50.905,5032648.550
20160122,51.444,51.623,50.656,51.094,3070256.388
20160125,51.104,51.843,50.875,51.174,4510311.831
20160126,51.174,52.382,51.164,52.372,3219263.170
20160127,52.382,52.601,51.514,51.753,2586800.704
20160128,52.122,52.741,51.374,52.451,3107324.772
20160129,52.701,53.539,52.506,53.240,3443208.421
20160201,53.329,54.467,53.030,54.197,4729320.934
20160202,53.878,53.948,52.801,52.880,4781369.137
20160203,53.180,53.439,51.723,52.781,3818610.233
20160204,52.591,53.112,51.613,51.843,4733359.630
20160205,55.874,58.817,55.704,56.961,15616062.258
20160208,56.971,60.184,56.971,60.024,10264691.280
20160209,59.515,60.862,59.426,60.713,5726768.989
20160210,60.932,61.948,60.633,61.471,6593523.646
20160211,60.972,61.361,59.635,59.904,4736524.266
20160212,60.114,60.189,59.156,60.024,5413361.514
20160216,61.052,62.073,60.763,61.670,5891278.996
20160217,62.788,62.938,62.090,62.259,5484840.220
20160218,62.419,63.207,61.870,62.808,4723626.351
20160219,62.818,63.465,61.760,62.828,4181138.199
20160222,62.948,63.965,62.888,63.955,4118871.081
20160223,63.876,64.883,63.636,64.644,6526357.762
20160224,64.355,65.272,64.255,65.233,3432538.351
20160225,65.422,66.520,65.073,66.335,3637429.792
20160226,66.010,66.330,65.100,65.160,3061564.000
20160229,65.000,65.720,64.730,64.740,2759961.000
20160301,65.100,65.905,64.960,65.590,2702775.000
20160302,65.400,65.790,64.630,65.780,3099514.000
20160303,65.960,66.090,65.370,66.020,2775856.000
20160304,65.360,65.520,64.380,65.000,3856861.000
20160307,64.710,65.950,64.390,65.670,2759759.000
20160308,65.500,66.150,65.130,65.450,3067289.000
20160309,65.680,66.820,65.470,66.070,4253250.000
20160310,66.170,66.790,66.050,66.660,4466086.000
20160311,67.140,67.710,66.571,67.690,3496114.000
20160314,67.260,67.620,66.980,67.210,2310811.000
20160315,67.080,67.210,66.640,66.660,2192548.000
20160316,66.640,67.270,65.880,67.050,2315965.000
20160317,67.350,67.730,67.090,67.220,2223538.000
20160318,67.200,67.600,66.620,67.200,2702420.000
20160321,66.690,66.880,66.320,66.740,2606465.000
20160322,66.710,67.220,66.110,66.700,2424993.000
20160323,66.860,67.615,66.380,67.440,2470022.000
20160324,66.940,67.460,66.490,66.890,1660106.000
