Date,Open,High,Low,Close,Volume
20160104,48.853,48.873,47.586,48.135,1740008.555
20160105,49.053,49.053,48.025,48.454,2268916.825
20160106,47.626,48.314,47.615,47.795,1217927.082
20160107,46.428,47.336,46.249,46.339,2042405.154
20160108,46.648,46.754,45.321,45.411,2001115.262
20160111,45.790,45.929,44.852,45.351,1763065.851
20160112,45.939,46.518,45.530,46.398,2081838.367
20160113,46.558,46.822,44.582,44.862,2298190.962
20160114,44.922,46.039,44.662,45.750,1658404.225
20160115,44.602,45.530,44.463,45.171,2491975.436
20160119,45.790,46.169,44.752,45.021,1742307.522
20160120,44.283,45.121,42.866,44.782,1884973.462
20160121,44.822,46.049,44.552,45.091,1739931.246
20160122,45.939,46.169,45.131,45.391,1857423.743
20160125,45.371,45.750,44.612,45.116,2393506.556
20160126,45.231,46.274,45.031,45.910,1857395.130
20160127,39.962,41.908,38.665,39.154,7063342.990
20160128,39.823,40.132,37.672,37.877,4411523.791
20160129,37.907,40.112,37.488,40.062,3828755.756
20160201,39.753,40.192,39.424,39.923,2932856.790
20160202,39.583,39.583,38.795,38.895,1746290.178
20160203,39.134,39.204,38.346,38.905,1883312.751
20160204,38.855,39.823,38.785,39.663,1860969.951
20160205,39.444,39.733,38.556,38.775,2492897.354
20160208,37.997,38.396,37.378,38.286,1961106.710
20160209,37.707,39.124,37.697,38.456,1434233.584
20160210,38.675,39.573,38.426,38.895,1417892.611
20160211,37.967,38.655,37.568,38.376,1875294.281
20160212,39.015,39.474,38.635,39.284,1571147.908
20160216,39.783,40.980,39.633,40.711,2059521.802
20160217,41.140,41.998,40.985,41.749,1778965.929
20160218,41.838,42.038,41.180,41.479,1479801.801
20160219,41.469,42.856,41.200,42.697,1857105.663
20160222,43.195,43.585,42.911,43.056,1718142.442
20160223,42.806,43.275,42.018,42.427,1734303.884
20160224,42.028,43.644,41.579,43.614,1786430.420
20160225,43.654,44.383,43.545,44.383,1628256.401
20160226,44.523,44.862,44.024,44.383,1116274.815
20160229,44.243,44.552,43.475,43.495,1266774.654
20160301,43.914,44.572,43.505,44.562,993571.775
20160302,44.622,44.842,43.914,44.542,783769.399
20160303,44.981,45.840,44.842,45.770,1110285.899
20160304,45.760,45.845,45.131,45.301,1087560.223
20160307,45.002,45.111,44.263,44.712,1139530.814
20160308,44.063,44.363,43.535,43.794,1259625.218
20160309,44.163,44.423,43.724,44.383,1239943.046
20160310,44.572,45.031,43.575,44.074,697860.680
20160311,44.503,44.792,44.243,44.692,943132.565
20160314,44.662,44.862,44.263,44.672,829862.764
20160315,44.323,44.493,44.123,44.333,671583.326
20160316,44.103,45.470,43.944,45.271,1438732.280
20160317,45.171,45.530,44.918,45.211,884803.992
20160318,45.361,45.540,44.892,44.922,2107441.573
20160321,44.782,45.740,44.652,45.670,947767.772
20160322,45.610,46.170,45.250,45.940,778943.000
20160323,45.830,46.330,45.640,46.210,897872.000
20160324,46.020,46.140,45.320,46.000,906807.000
