Date,Open,High,Low,Close,Volume
20160104,53.952,54.485,53.340,54.268,341977.116
20160105,54.436,55.276,54.317,55.266,705191.159
20160106,54.248,54.248,52.312,52.638,785683.810
20160107,51.552,51.878,50.277,50.287,545300.374
20160108,50.663,51.068,49.853,49.951,457620.782
20160111,50.129,50.475,49.122,49.388,416906.819
20160112,49.862,50.144,49.260,49.912,322045.373
20160113,50.248,50.327,48.993,49.161,447724.723
20160114,49.240,50.139,48.895,49.685,413746.190
20160115,48.302,49.774,48.272,49.536,677593.705
20160119,49.991,50.114,48.163,48.410,522157.297
20160120,47.719,49.000,46.425,48.677,808914.911
20160121,48.904,49.053,47.640,48.410,767047.703
20160122,49.379,49.808,48.944,49.300,535857.663
20160125,48.885,49.839,48.845,49.517,498345.876
20160126,49.705,50.880,49.616,50.850,1173218.669
20160127,45.032,45.674,42.217,43.432,6412883.693
20160128,42.840,45.368,42.840,43.788,2013704.565
20160129,44.074,46.000,43.975,45.842,1074552.337
20160201,45.467,46.425,45.200,45.743,961100.478
20160202,45.348,45.427,43.857,43.946,734027.962
20160203,44.519,45.773,44.242,45.724,687132.293
20160204,45.921,48.588,45.921,48.529,1360745.147
20160205,48.470,48.981,48.045,48.786,699905.444
20160208,48.312,48.796,47.620,48.687,733373.960
20160209,47.976,48.381,46.178,46.218,1236643.288
20160210,46.366,47.531,46.316,46.455,542621.415
20160211,45.586,47.067,45.487,46.702,639814.465
20160212,46.899,47.640,46.603,47.482,571254.820
20160216,47.956,48.272,47.677,47.917,876656.757
20160217,48.430,49.151,48.312,48.825,1074963.238
20160218,48.983,49.418,48.450,49.329,970022.668
20160219,48.993,49.339,48.613,48.983,662059.609
20160222,49.290,51.354,49.062,50.998,997059.178
20160223,50.870,52.045,50.860,51.078,541474.575
20160224,50.455,50.702,47.433,48.845,2502555.790
20160225,48.252,48.302,46.702,47.966,1146480.214
20160226,47.966,49.724,47.541,49.132,619885.747
20160229,49.161,50.129,49.132,49.349,432092.592
20160301,49.349,50.267,49.260,50.040,499413.030
20160302,50.129,51.295,49.803,51.078,514248.325
20160303,51.038,53.349,50.900,53.280,861795.985
20160304,53.547,55.641,53.507,54.446,826091.052
20160307,54.406,56.056,54.332,55.572,936278.043
20160308,55.117,55.374,52.589,53.310,768471.354
20160309,53.507,53.754,52.796,52.954,708142.206
20160310,53.290,53.695,52.470,53.478,651140.976
20160311,54.070,55.542,53.903,54.772,695627.186
20160314,55.098,56.420,55.078,55.542,1016361.534
20160315,55.108,55.187,54.258,54.910,441177.626
20160316,55.020,55.400,53.590,55.270,693409.000
20160317,55.350,57.100,55.100,56.850,630278.000
20160318,56.830,58.130,56.630,57.850,807331.000
20160321,57.850,58.300,56.940,58.020,403296.000
20160322,57.730,57.730,56.430,56.820,849146.000
20160323,56.740,56.900,55.580,55.810,665294.000
20160324,55.330,55.590,53.980,55.370,811358.000
