Date,Open,High,Low,Close,Volume
20160104,183.630,184.080,181.030,183.080,1395238.000
20160105,183.520,183.535,181.570,182.920,1081276.000
20160106,181.170,182.720,180.360,181.990,762606.000
20160107,179.810,183.450,179.150,181.320,1265232.000
20160108,182.250,186.230,181.560,182.790,1736507.000
20160111,183.720,184.430,181.690,183.340,826750.000
20160112,184.000,185.280,181.650,183.530,906018.000
20160113,183.460,184.350,178.660,179.620,1316074.000
20160114,179.770,183.430,179.650,181.920,1070980.000
20160115,178.280,179.910,175.330,177.010,2696618.000
20160119,178.160,179.000,176.540,177.610,1607299.000
20160120,175.900,180.950,174.670,180.290,2116375.000
20160121,180.010,181.190,177.850,179.220,1191896.000
20160122,180.870,182.560,180.020,182.110,1648562.000
20160125,180.670,182.680,179.765,180.190,965121.000
20160126,179.610,181.130,179.240,179.600,1754906.000
20160127,179.010,180.440,175.525,176.120,1979793.000
20160128,174.780,178.680,174.780,178.280,2053602.000
20160129,179.720,182.820,178.430,181.570,1748148.000
20160201,182.450,184.760,179.420,184.220,1200423.000
20160202,182.960,184.830,181.460,182.080,1654183.000
20160203,183.100,185.810,181.950,185.710,1416106.000
20160204,186.000,188.310,181.520,183.570,1660961.000
20160205,182.720,183.010,178.860,181.470,1919019.000
20160208,179.740,180.360,173.410,177.730,2817221.000
20160209,177.240,180.590,175.680,180.320,1646466.000
20160210,180.000,181.860,179.040,179.220,1576100.000
20160211,176.990,179.900,176.990,179.260,2583078.000
20160212,179.950,185.250,179.270,184.990,1843604.000
20160216,182.650,186.550,181.500,186.020,1389155.000
20160217,185.010,188.490,184.604,187.680,1903339.000
20160218,187.160,189.450,186.600,187.660,1715122.000
20160219,186.740,189.249,185.390,188.740,1711497.000
20160222,190.000,191.250,189.230,190.790,2347203.000
20160223,190.220,191.418,189.360,189.510,1706094.000
20160224,189.430,190.150,187.230,189.870,1457988.000
20160225,190.470,194.000,189.860,193.500,3235349.000
20160226,193.340,194.110,192.120,192.620,1785078.000
20160229,192.620,194.410,190.890,190.910,2892988.000
20160301,192.600,194.450,190.841,194.350,3048979.000
20160302,193.660,194.155,191.930,193.560,2254316.000
20160303,193.460,195.750,192.840,194.470,1741122.000
20160304,194.680,195.430,193.518,195.060,1244017.000
20160307,194.670,195.670,193.870,195.230,990830.000
20160308,194.610,195.410,193.450,193.520,1530235.000
20160309,194.680,195.400,193.680,195.190,1724490.000
20160310,195.350,195.990,193.030,194.510,1875037.000
20160311,196.000,196.000,194.505,195.860,1175591.000
20160314,195.900,196.000,195.020,195.070,1049760.000
20160315,194.280,195.740,193.880,195.660,935574.000
20160316,196.730,203.320,196.720,202.370,5557711.000
20160317,202.090,204.130,201.810,203.350,2683068.000
20160318,203.900,204.370,202.650,203.090,2207885.000
20160321,202.970,204.575,201.780,204.330,1581718.000
20160322,204.100,205.640,203.350,205.320,1656846.000
20160323,205.230,205.790,204.310,204.460,1495967.000
20160324,204.450,204.980,201.870,202.700,1093539.000
