Date,Open,High,Low,Close,Volume
20160104,53.258,53.933,52.970,53.923,7109894.280
20160105,53.863,54.062,53.148,53.357,5841698.500
20160106,52.543,53.486,52.325,53.020,7977724.371
20160107,51.997,52.548,50.985,51.302,9765262.430
20160108,51.154,51.590,49.863,49.982,9086932.510
20160111,50.449,51.114,50.092,50.826,6785324.960
20160112,51.144,51.451,50.444,51.134,4643158.090
20160113,50.915,51.425,49.427,49.456,6396789.080
20160114,49.605,50.290,49.163,49.655,9334758.930
20160115,47.531,48.325,46.380,47.660,14193330.230
20160119,48.255,48.563,47.449,47.858,7827045.520
20160120,47.561,48.910,47.035,48.633,13150696.720
20160121,49.198,50.474,48.642,49.466,9260186.640
20160122,50.459,50.846,49.764,49.918,5729523.920
20160125,49.972,50.623,49.625,49.714,6997109.030
20160126,50.002,50.677,49.655,50.320,7104455.020
20160127,50.032,51.178,49.595,50.300,9264746.360
20160128,50.950,52.000,50.380,51.110,9600853.000
20160129,51.320,52.940,51.010,52.930,8649327.000
20160201,52.300,53.270,52.300,52.830,5742748.000
20160202,52.120,52.500,50.640,50.640,8708283.000
20160203,50.170,50.710,49.100,50.240,10175254.000
20160204,50.480,51.630,50.010,51.230,9148791.000
20160205,50.590,51.410,49.500,49.880,7413562.000
20160208,49.260,51.230,49.100,50.900,14855874.000
20160209,50.530,51.630,50.090,50.690,6964645.000
20160210,51.330,51.700,50.590,50.750,6775641.000
20160211,49.850,50.775,49.710,50.370,5536553.000
20160212,51.440,51.440,49.990,51.130,7414477.000
20160216,51.140,52.770,51.130,52.540,5463214.000
20160217,52.960,53.720,52.730,53.690,4909336.000
20160218,53.720,53.820,53.000,53.050,5592122.000
20160219,52.830,52.940,52.410,52.750,4903126.000
20160222,53.360,53.580,53.050,53.300,3452388.000
20160223,52.990,53.370,52.120,52.240,3307410.000
20160224,51.770,52.580,51.310,52.450,4614770.000
20160225,52.760,53.110,51.860,53.110,3327658.000
20160226,53.490,53.500,53.110,53.300,3175762.000
20160229,53.400,53.825,52.970,53.010,3222173.000
20160301,53.470,54.220,53.000,54.220,4012016.000
20160302,54.320,54.634,53.950,54.420,3700840.000
20160303,54.590,54.930,54.070,54.880,3828121.000
20160304,54.930,55.270,54.400,54.890,3860525.000
20160307,54.540,55.541,54.470,55.480,3220495.000
20160308,54.830,55.150,54.420,54.530,3817899.000
20160309,54.740,55.150,54.540,54.750,3132020.000
20160310,55.450,55.640,54.615,55.500,4129455.000
20160311,55.930,56.220,55.750,56.060,4197223.000
20160314,55.800,55.945,55.260,55.610,2844829.000
20160315,55.240,55.740,55.070,55.730,2773944.000
20160316,55.600,56.280,55.350,56.155,2975253.000
20160317,55.930,56.810,55.825,56.620,3773340.000
20160318,56.780,57.250,56.520,57.080,7377713.000
20160321,56.900,57.060,56.380,57.030,2329693.000
20160322,56.740,57.200,56.520,56.910,2741223.000
20160323,56.970,56.990,56.550,56.610,2778475.000
20160324,56.490,56.730,56.190,56.700,1916356.000
