Date,Open,High,Low,Close,Volume
20160104,41.315,41.495,40.765,41.484,1486429.105
20160105,41.474,41.723,40.995,41.574,1288503.377
20160106,40.895,41.005,39.915,40.325,2161866.021
20160107,39.356,40.115,39.296,39.496,2092678.958
20160108,39.656,39.915,38.956,39.026,3205885.121
20160111,39.166,39.236,38.476,38.856,2030110.496
20160112,39.226,39.306,38.476,39.046,2436241.836
20160113,39.266,39.316,37.877,37.917,1570545.229
20160114,37.977,38.137,36.970,37.927,1919628.767
20160115,36.897,37.467,36.847,37.307,2982088.979
20160119,37.857,37.857,36.578,36.777,2469614.562
20160120,36.238,36.538,34.699,36.338,4428635.148
20160121,36.468,37.027,36.198,36.487,1512609.335
20160122,36.977,37.437,36.747,37.437,1643860.113
20160125,37.377,37.457,36.727,36.807,2266280.210
20160126,36.957,37.787,36.857,37.707,2244994.865
20160127,33.979,35.373,32.450,32.690,10185092.558
20160128,32.800,34.174,32.410,33.579,5557746.220
20160129,33.579,34.619,33.579,34.199,3758746.355
20160201,33.849,33.919,33.040,33.140,3707475.246
20160202,32.680,32.770,31.501,31.741,4677001.807
20160203,32.080,32.480,30.921,32.260,3805581.820
20160204,32.360,33.215,32.160,32.260,2793702.004
20160205,32.160,32.660,31.920,32.280,2311185.634
20160208,31.820,32.630,31.660,32.480,3580606.853
20160209,31.880,32.800,31.741,32.020,2387556.949
20160210,32.040,32.690,31.890,31.990,2278457.948
20160211,31.701,32.120,30.666,31.081,3156876.289
20160212,31.301,32.180,31.131,32.070,2117660.476
20160216,32.540,32.950,32.150,32.820,1479465.814
20160217,33.230,33.639,32.980,33.260,1858800.253
20160218,33.160,33.914,32.820,33.739,2886059.982
20160219,33.589,33.699,33.180,33.270,1909678.151
20160222,33.889,34.239,33.619,34.129,1546624.190
20160223,33.849,34.129,33.579,33.869,1624557.410
20160224,33.340,33.999,33.100,33.959,1386301.929
20160225,34.009,34.519,33.779,34.469,1357209.897
20160226,34.669,34.938,34.369,34.529,2775451.611
20160229,34.629,34.729,34.119,34.129,1436019.243
20160301,34.559,34.859,34.239,34.499,3591813.062
20160302,34.469,34.959,34.049,34.159,2851124.489
20160303,34.149,34.229,33.599,33.639,3567333.526
20160304,32.830,33.479,32.710,32.980,7717687.251
20160307,32.910,33.519,32.800,32.900,3717834.916
20160308,32.570,32.820,32.035,32.500,2031558.294
20160309,32.670,33.460,32.550,33.130,2755579.000
20160310,33.180,33.330,32.790,32.970,2388350.000
20160311,33.030,33.980,33.000,33.900,2065927.000
20160314,33.660,34.070,33.580,33.855,1531754.000
20160315,33.400,33.650,33.060,33.510,1350869.000
20160316,33.440,34.333,33.390,34.230,1740578.000
20160317,34.300,35.135,34.150,34.958,2002346.000
20160318,35.150,36.200,35.140,36.160,3668865.000
20160321,35.890,36.410,35.860,36.350,2209136.000
20160322,36.000,36.695,35.800,36.610,2249967.000
20160323,36.410,36.719,36.250,36.595,2426627.000
20160324,36.250,36.340,35.445,36.160,3315496.000
