Date,Open,High,Low,Close,Volume
20160104,31.229,31.691,31.134,31.587,3247915.901
20160105,31.547,31.755,31.020,31.209,3233496.784
20160106,30.424,30.911,30.226,30.891,5940968.116
20160107,30.265,30.573,29.987,30.116,3095863.667
20160108,30.315,30.524,30.007,30.057,3246356.448
20160111,30.126,30.315,29.838,30.077,3591893.102
20160112,30.593,31.090,30.126,30.355,4028880.140
20160113,31.000,31.328,29.461,29.620,3156865.724
20160114,29.679,30.310,29.401,30.017,3761708.078
20160115,29.312,30.216,29.312,30.092,3916344.406
20160119,30.613,30.712,29.928,30.325,4511779.310
20160120,30.000,30.080,28.940,29.840,4491728.000
20160121,29.790,30.410,29.550,30.000,2941018.000
20160122,30.370,30.755,30.190,30.590,1976887.000
20160125,32.860,34.390,32.070,34.160,21299831.000
20160126,33.620,34.250,33.090,33.980,7987415.000
20160127,33.940,34.750,33.460,33.620,6613481.000
20160128,34.010,34.190,33.390,33.460,4522488.000
20160129,34.290,34.765,33.930,34.400,4455329.000
20160201,34.190,34.490,33.630,34.080,3378271.000
20160202,33.760,33.840,33.540,33.760,4398030.000
20160203,34.030,34.570,33.790,34.270,5293736.000
20160204,33.990,35.020,33.840,34.710,4316707.000
20160205,34.640,35.000,34.440,34.990,5070742.000
20160208,34.690,34.845,34.370,34.740,2974357.000
20160209,34.460,34.855,34.390,34.670,3135619.000
20160210,34.700,35.000,34.045,34.100,4117852.000
20160211,33.620,33.860,32.915,33.250,2765425.000
20160212,33.530,33.650,33.000,33.510,3994930.000
20160216,34.000,34.350,33.720,34.210,2986436.000
20160217,34.200,35.060,34.160,34.940,3205696.000
20160218,34.960,35.050,34.440,34.510,3527977.000
20160219,34.440,34.530,33.150,33.540,5074132.000
20160222,33.620,34.250,33.620,34.160,3782043.000
20160223,34.000,34.380,33.680,33.825,3067027.000
20160224,33.550,34.450,33.010,34.390,4300953.000
20160225,34.550,34.890,34.050,34.880,4918614.000
20160226,35.000,35.475,34.934,35.420,3503487.000
20160229,35.340,35.470,35.060,35.180,4960246.000
20160301,35.440,36.020,35.360,36.020,3934073.000
20160302,36.000,36.110,35.700,35.850,2445264.000
20160303,35.720,36.155,35.680,36.130,2168219.000
20160304,36.120,36.380,35.910,36.310,2833111.000
20160307,36.170,36.420,36.000,36.340,1889859.000
20160308,36.170,36.170,35.640,35.810,2857156.000
20160309,35.940,36.120,35.890,35.970,1512931.000
20160310,36.040,36.265,35.270,35.420,2103593.000
20160311,35.620,36.310,35.615,36.270,1507189.000
20160314,36.230,36.515,36.130,36.430,1124144.000
20160315,36.130,36.240,35.870,36.100,1034815.000
20160316,35.910,36.510,35.740,36.370,1143118.000
20160317,36.390,36.800,36.290,36.670,1822862.000
20160318,36.810,36.930,36.510,36.560,4183493.000
20160321,36.640,36.640,36.360,36.530,1718779.000
20160322,36.360,36.495,36.060,36.160,3055720.000
20160323,36.060,36.195,35.680,35.710,2405474.000
20160324,35.730,36.030,35.390,36.030,1897376.000
