Date,Open,High,Low,Close,Volume
20160104,79.670,80.120,78.440,79.620,3396485.000
20160105,81.230,81.500,79.550,80.150,2395228.000
20160106,78.750,80.880,78.630,79.930,2419365.000
20160107,78.970,80.630,77.520,77.970,3460917.000
20160108,78.350,78.500,74.780,74.960,4463711.000
20160111,70.830,72.410,67.430,69.950,13993229.000
20160112,71.060,72.190,69.319,72.150,5709334.000
20160113,71.870,73.900,71.690,71.870,4974273.000
20160114,71.940,71.940,67.830,69.830,5325574.000
20160115,67.500,69.410,67.230,68.600,3702363.000
20160119,69.050,69.560,66.430,67.100,3795151.000
20160120,65.800,68.300,63.230,67.350,6648724.000
20160121,67.600,70.345,67.000,69.040,4801371.000
20160122,69.840,70.810,69.125,70.790,3155291.000
20160125,70.210,70.840,67.790,68.157,3412482.000
20160126,67.110,68.400,66.090,67.360,4568877.000
20160127,67.000,70.260,66.930,68.580,5535122.000
20160128,79.490,84.780,78.110,84.050,17059439.000
20160129,83.850,86.290,82.010,85.430,7672156.000
20160201,84.800,85.580,83.290,85.130,4665271.000
20160202,84.920,85.950,80.920,81.990,3917643.000
20160203,82.170,82.790,78.330,80.900,4179797.000
20160204,80.090,80.690,78.610,80.540,2910659.000
20160205,80.480,80.890,74.440,77.315,6888090.000
20160208,76.360,76.450,70.330,72.550,7688855.000
20160209,71.470,75.300,70.837,72.360,5132471.000
20160210,73.010,76.050,71.800,74.480,4576264.000
20160211,73.070,73.980,71.195,72.570,3800513.000
20160212,73.860,76.360,72.830,76.270,3336867.000
20160216,77.990,81.220,77.680,79.930,5930275.000
20160217,80.950,83.640,80.236,82.980,4094149.000
20160218,83.160,83.450,80.720,81.020,2697175.000
20160219,80.500,81.900,79.040,80.640,2840303.000
20160222,81.140,82.200,80.650,81.080,1796517.000
20160223,81.070,81.980,79.830,80.510,2142202.000
20160224,79.850,82.600,79.190,82.130,2247202.000
20160225,82.410,83.700,81.870,83.050,2150392.000
20160226,83.200,84.930,82.500,83.820,2633703.000
20160229,84.200,84.440,83.116,83.650,1805206.000
20160301,84.140,85.790,83.850,84.900,2336043.000
20160302,84.830,84.980,83.070,83.920,1781229.000
20160303,82.400,83.480,80.560,83.070,3040327.000
20160304,83.350,84.640,82.250,84.010,2318012.000
20160307,83.560,84.490,82.380,83.230,2324598.000
20160308,82.440,82.920,81.190,81.300,2190098.000
20160309,81.590,81.820,78.898,80.300,3144624.000
20160310,80.990,82.190,80.043,81.050,1762022.000
20160311,81.560,82.780,80.370,82.450,1598441.000
20160314,82.390,82.430,81.390,81.880,1882506.000
20160315,81.690,81.800,80.370,81.049,1787347.000
20160316,80.880,81.180,79.860,80.990,1659239.000
20160317,81.140,83.990,80.930,83.200,3072691.000
20160318,83.540,85.300,83.420,84.230,2962555.000
20160321,84.570,86.580,84.330,85.530,3053149.000
20160322,85.360,85.450,83.540,84.440,2102224.000
20160323,83.190,83.960,82.700,82.900,1894927.000
20160324,82.640,82.870,81.260,82.160,1582453.000
