Date,Open,High,Low,Close,Volume
20160104,117.394,119.083,116.385,117.814,631954.961
20160105,118.453,120.152,117.984,118.364,656884.242
20160106,116.575,117.514,113.988,115.666,821022.718
20160107,113.418,115.076,112.139,112.809,721155.154
20160108,113.168,115.846,111.949,112.279,655648.286
20160111,114.077,117.724,112.689,114.357,1022629.166
20160112,114.957,117.394,110.001,112.209,702647.382
20160113,112.299,113.298,107.823,109.012,1177951.650
20160114,109.212,112.069,108.842,111.050,822538.206
20160115,108.732,110.740,107.004,109.022,1020500.013
20160119,110.311,110.491,105.575,107.254,1035186.204
20160120,105.265,108.452,103.397,107.284,983604.921
20160121,107.673,110.151,105.945,106.844,717750.146
20160122,107.503,108.492,105.775,107.413,762007.804
20160125,107.154,109.312,106.884,108.363,579045.497
20160126,108.682,112.509,108.412,111.799,682737.618
20160127,111.660,113.598,110.291,110.980,594058.887
20160128,112.689,113.778,107.364,107.923,680968.987
20160129,108.183,112.749,107.473,112.509,588927.434
20160201,112.179,115.706,111.859,114.977,658146.468
20160202,113.398,113.798,111.440,111.999,501738.921
20160203,112.809,113.188,109.002,111.530,568699.068
20160204,111.110,112.928,109.362,111.740,488056.631
20160205,111.120,112.119,108.163,108.972,594138.916
20160208,106.864,107.503,103.397,104.336,560437.678
20160209,103.197,106.260,102.868,105.405,529921.258
20160210,106.344,110.641,106.105,108.892,657674.134
20160211,107.194,107.948,101.459,101.499,1101553.708
20160212,102.338,104.416,100.660,104.126,666657.184
20160216,100.909,106.155,100.899,106.005,1059477.242
20160217,106.544,109.092,106.484,107.633,1104078.304
20160218,108.033,108.702,106.964,107.243,706335.803
20160219,107.324,107.543,104.936,106.854,1592006.822
20160222,107.963,110.421,107.733,109.941,704325.804
20160223,109.671,110.810,107.853,109.651,554783.523
20160224,108.482,110.710,107.613,110.521,471542.766
20160225,111.370,112.818,108.722,111.170,818764.936
20160226,107.900,117.500,107.200,113.370,1364054.000
20160229,112.880,113.190,110.370,110.380,1002101.000
20160301,112.060,114.070,109.280,113.740,925356.000
20160302,113.950,115.520,113.200,115.340,810323.000
20160303,115.500,119.270,114.790,117.500,763974.000
20160304,117.570,118.130,115.430,115.500,884875.000
20160307,114.580,115.170,113.620,114.370,778690.000
20160308,113.480,114.480,111.380,111.780,855730.000
20160309,112.660,113.160,110.700,113.000,512144.000
20160310,113.470,115.020,111.960,112.950,644150.000
20160311,114.140,115.980,113.600,115.630,715234.000
20160314,115.210,116.280,114.570,115.390,391518.000
20160315,114.290,114.730,111.690,112.090,447549.000
20160316,111.820,114.390,111.585,113.720,432630.000
20160317,113.330,114.390,111.620,113.720,571465.000
20160318,113.970,117.110,113.690,116.660,806388.000
20160321,117.550,118.310,115.350,116.580,541138.000
20160322,115.940,120.080,115.230,118.910,741204.000
20160323,119.110,121.615,118.520,118.640,555374.000
20160324,117.640,119.050,116.000,117.900,424636.000
