Date,Open,High,Low,Close,Volume
20160104,116.430,116.430,114.049,115.962,4341562.727
20160105,116.240,117.406,115.732,116.201,2568502.586
20160106,115.304,116.171,114.030,115.025,2048428.905
20160107,113.253,113.621,110.962,111.629,4608596.886
20160108,111.888,112.536,109.309,109.668,3766819.830
20160111,110.056,110.165,107.750,109.110,4197930.260
20160112,110.076,112.665,109.409,111.819,3629266.128
20160113,112.038,112.571,108.472,108.741,3003466.178
20160114,108.293,111.341,107.058,110.245,3611582.637
20160115,108.632,110.215,107.347,108.711,5238501.050
20160119,111.032,113.691,109.150,112.018,6451408.330
20160120,111.629,115.264,109.697,114.348,7742123.451
20160121,114.199,115.005,111.799,113.014,4654834.300
20160122,113.920,114.687,113.422,113.850,3251592.943
20160125,114.488,114.836,112.376,112.964,2593275.721
20160126,112.446,113.721,111.301,113.522,3693347.404
20160127,113.960,114.338,111.370,111.898,3987007.148
20160128,111.948,112.834,110.155,110.892,3240937.714
20160129,111.470,114.607,109.598,114.517,3964105.907
20160201,114.378,115.673,113.641,115.384,3655787.313
20160202,114.478,114.916,112.804,113.392,2630284.291
20160203,112.924,113.541,109.847,112.326,2987468.732
20160204,112.207,114.079,111.580,113.721,3281444.680
20160205,114.059,114.059,110.444,111.241,2893283.885
20160208,110.594,110.693,108.383,109.588,4649611.322
20160209,109.179,111.819,108.691,110.763,3203089.358
20160210,111.291,114.009,110.504,112.277,2804786.138
20160211,110.853,111.231,109.638,110.126,3502612.620
20160212,110.743,111.450,109.747,111.351,2155576.075
20160216,112.167,114.796,112.068,114.667,2925814.576
20160217,115.842,117.904,114.727,117.814,4104971.875
20160218,118.013,119.507,116.579,116.957,3544079.049
20160219,117.017,118.063,115.533,117.147,4150752.450
20160222,118.312,121.638,118.312,120.762,4622054.933
20160223,120.662,121.339,119.776,120.642,2483512.973
20160224,119.437,119.826,117.346,119.676,2363446.771
20160225,119.706,120.732,119.328,120.702,2017577.267
20160226,120.981,121.758,120.383,120.812,2570345.872
20160229,120.602,121.319,118.481,118.541,2941716.558
20160301,118.182,121.718,118.182,121.180,3000854.480
20160302,120.732,121.430,119.875,120.752,2399854.723
20160303,120.363,121.359,119.596,121.309,2721302.988
20160304,120.821,121.688,120.244,121.299,2606034.310
20160307,120.463,122.236,120.393,121.200,1973891.127
20160308,120.782,121.817,120.234,121.170,2238297.544
20160309,121.880,122.120,120.450,121.070,1874312.000
20160310,121.200,122.760,120.410,122.150,2359589.000
20160311,122.470,125.320,122.250,125.020,3272611.000
20160314,124.800,126.020,124.320,125.210,2423334.000
20160315,124.540,125.478,124.080,124.850,2114125.000
20160316,124.390,125.570,124.100,124.900,1909030.000
20160317,124.610,125.000,122.220,124.510,3353164.000
20160318,124.860,127.080,124.530,126.540,4870622.000
20160321,126.240,127.000,125.653,126.760,2355576.000
20160322,126.650,128.815,126.020,128.070,3091502.000
20160323,127.620,130.350,127.620,129.790,5775709.000
20160324,129.010,130.320,127.170,128.590,3747239.000
