Date,Open,High,Low,Close,Volume
20160104,94.593,94.643,93.314,94.087,3267690.320
20160105,94.087,95.337,93.770,95.040,2639398.135
20160106,94.137,94.782,93.353,93.651,2201009.507
20160107,92.490,93.224,91.538,91.855,3403604.727
20160108,92.103,92.262,90.486,90.645,3490045.014
20160111,91.052,91.210,89.990,90.933,3181368.735
20160112,90.933,92.361,90.933,92.292,4178634.242
20160113,92.579,93.036,89.385,89.891,3721760.381
20160114,90.089,91.156,88.889,90.407,3497601.408
20160115,88.859,89.395,87.718,89.276,4829096.276
20160119,90.089,90.526,88.859,89.603,3269350.890
20160120,88.353,88.730,86.587,88.036,4532535.816
20160121,88.105,89.474,87.222,88.363,3266332.763
20160122,89.484,89.970,88.599,89.167,2346354.762
20160125,89.206,89.544,88.453,88.730,1806965.607
20160126,89.137,90.605,89.137,90.198,2064284.784
20160127,90.476,91.409,89.653,90.149,2977202.370
20160128,90.248,90.913,89.544,90.238,2137096.265
20160129,90.903,92.510,90.903,92.421,4148817.034
20160201,91.310,93.750,91.310,93.314,4895992.239
20160202,94.355,95.238,93.265,93.919,7347346.252
20160203,94.703,94.990,93.224,94.593,4558699.461
20160204,94.633,96.230,94.405,95.506,5010990.530
20160205,95.109,95.913,94.326,94.613,3960472.190
20160208,93.641,96.647,93.552,96.518,4260133.527
20160209,95.585,98.125,95.536,96.756,5204915.490
20160210,96.766,97.222,95.129,95.337,3433896.214
20160211,93.849,94.941,93.472,94.335,3432046.080
20160212,95.486,96.548,95.149,96.478,3101585.945
20160216,97.133,98.242,96.736,97.748,2728940.388
20160217,98.016,98.710,97.490,97.510,2760747.266
20160218,97.920,98.070,97.240,97.480,2401094.000
20160219,97.220,97.490,96.481,97.360,1938094.000
20160222,98.280,98.920,97.920,98.000,2351786.000
20160223,97.110,97.220,96.010,96.980,3368837.000
20160224,96.180,97.040,95.330,96.830,2153907.000
20160225,97.220,97.850,96.480,97.720,1851117.000
20160226,97.970,98.520,97.410,97.436,2145916.000
20160229,97.450,97.710,96.510,96.510,2379272.000
20160301,97.430,98.450,97.030,98.370,2439565.000
20160302,98.220,98.965,98.050,98.750,2397459.000
20160303,98.440,99.770,98.330,99.630,2249980.000
20160304,99.550,101.220,99.405,100.410,3304807.000
20160307,100.010,101.370,99.770,101.280,2344580.000
20160308,100.540,101.640,100.320,100.600,2581269.000
20160309,99.500,100.150,98.890,99.510,3142391.000
20160310,100.060,100.060,98.850,99.860,2171210.000
20160311,100.170,101.100,100.160,100.810,1811643.000
20160314,100.170,101.600,100.170,101.290,1765155.000
20160315,100.970,101.550,100.590,101.380,1512808.000
20160316,101.200,102.127,100.700,101.690,2062953.000
20160317,103.130,104.380,102.600,103.750,4206700.000
20160318,103.900,105.420,103.810,104.930,3873153.000
20160321,104.620,105.470,104.430,105.120,2510011.000
20160322,104.460,105.320,104.310,104.850,1647755.000
20160323,104.250,105.210,104.250,104.870,1774502.000
20160324,104.150,105.490,104.150,105.460,1793208.000
