Date,Open,High,Low,Close,Volume
20160104,22.380,23.120,22.250,22.750,2285696.000
20160105,22.830,23.150,22.160,22.565,2903417.000
20160106,22.290,22.600,21.710,21.920,2097968.000
20160107,21.620,22.950,21.440,22.210,2165723.000
20160108,22.370,22.640,21.830,22.360,3833692.000
20160111,22.380,22.400,21.550,21.840,2088822.000
20160112,22.120,22.710,21.700,22.050,1573347.000
20160113,22.190,22.420,20.810,21.025,2740213.000
20160114,21.070,21.660,20.710,21.260,2305726.000
20160115,20.720,21.270,20.390,21.160,2127458.000
20160119,21.430,21.560,20.380,20.780,1532331.000
20160120,20.490,21.230,20.050,20.950,1672443.000
20160121,21.080,21.840,20.850,21.420,2086813.000
20160122,21.820,22.040,21.410,21.650,1060500.000
20160125,21.590,21.780,21.220,21.380,1251856.000
20160126,21.420,22.290,21.420,22.160,903076.000
20160127,22.130,22.250,21.490,21.740,1494706.000
20160128,21.960,22.130,21.490,21.910,1716486.000
20160129,22.050,22.920,22.050,22.890,1365041.000
20160201,22.780,23.090,22.340,23.010,1323362.000
20160202,22.840,24.040,22.840,23.700,3227790.000
20160203,23.640,23.950,23.420,23.820,1918517.000
20160204,23.360,23.920,23.240,23.740,2471191.000
20160205,23.430,23.870,22.950,23.390,3170798.000
20160208,23.140,24.000,23.050,23.900,3000533.000
20160209,23.710,24.200,23.215,23.590,2188235.000
20160210,24.200,25.110,23.700,24.340,2795332.000
20160211,23.750,24.280,23.550,23.920,2605574.000
20160212,24.120,24.850,23.900,24.810,2288038.000
20160216,25.220,26.140,24.900,25.990,1636566.000
20160217,26.230,26.880,26.000,26.670,1484223.000
20160218,26.550,27.370,26.180,27.130,1728386.000
20160219,26.650,26.920,25.840,26.820,1528982.000
20160222,27.150,27.570,26.940,27.020,1756677.000
20160223,26.960,27.550,26.680,26.780,2238910.000
20160224,26.570,27.100,26.137,26.850,2250058.000
20160225,26.870,27.000,26.160,26.480,2305262.000
20160226,26.720,26.990,26.320,26.675,1572367.000
20160229,26.710,27.270,26.470,26.480,1528136.000
20160301,26.700,26.930,26.470,26.920,1383473.000
20160302,26.930,27.100,26.550,26.990,1190160.000
20160303,27.090,27.700,26.670,27.420,2311652.000
20160304,27.390,28.730,27.345,27.660,2627211.000
20160307,27.320,28.480,27.270,28.170,3100441.000
20160308,30.740,33.190,30.500,32.700,11037939.000
20160309,32.840,33.020,32.130,32.780,2805520.000
20160310,33.050,33.430,32.450,32.670,2600063.000
20160311,32.880,33.460,32.510,33.110,2739830.000
20160314,32.880,33.150,32.420,32.630,1902691.000
20160315,32.540,32.758,31.820,32.050,2474549.000
20160316,31.840,32.000,31.340,31.830,1930819.000
20160317,31.720,32.780,31.640,32.740,1768038.000
20160318,32.640,33.830,32.640,33.620,3002047.000
20160321,33.650,33.920,33.050,33.370,1591265.000
20160322,33.180,33.240,32.490,32.820,1224443.000
20160323,32.610,32.680,31.910,32.110,1159653.000
20160324,32.120,32.475,31.720,32.440,1119780.000
