Date,Open,High,Low,Close,Volume
20160104,41.750,41.830,41.110,41.500,7464192.000
20160105,41.590,41.720,41.190,41.680,6411942.000
20160106,41.100,41.570,40.810,41.067,5815072.000
20160107,40.310,40.675,39.890,40.250,8968572.000
20160108,40.640,40.730,39.620,39.710,7575522.000
20160111,40.010,40.110,39.480,39.860,6046851.000
20160112,40.510,40.660,39.690,40.620,8458269.000
20160113,40.920,41.040,38.950,39.020,10657434.000
20160114,39.570,40.210,39.110,39.910,12089826.000
20160115,38.010,39.440,37.970,39.050,12866245.000
20160119,39.470,39.870,38.750,39.140,10694870.000
20160120,38.300,39.330,38.260,38.870,12937416.000
20160121,38.940,39.450,38.495,38.510,11981468.000
20160122,39.300,39.630,39.030,39.370,8393857.000
20160125,39.290,39.350,38.230,38.300,9472704.000
20160126,38.440,39.270,38.290,39.030,6092786.000
20160127,39.120,39.990,38.830,39.180,7150518.000
20160128,39.510,39.800,39.000,39.210,8481501.000
20160129,39.310,40.080,39.200,40.050,9635931.000
20160201,39.890,40.020,39.550,39.790,5468690.000
20160202,39.270,39.330,38.590,38.760,6480980.000
20160203,38.930,39.340,37.980,39.280,9803541.000
20160204,39.280,40.200,39.170,40.110,8092819.000
20160205,40.210,40.550,39.940,40.080,9546115.000
20160208,39.860,40.040,38.970,39.530,12785995.000
20160209,38.840,39.710,38.520,39.400,11933527.000
20160210,39.940,40.290,39.020,39.045,8859108.000
20160211,38.000,38.075,37.070,37.450,11551335.000
20160212,38.240,39.150,38.000,39.100,11252545.000
20160216,39.610,40.520,39.280,40.190,9989915.000
20160217,40.610,40.720,40.070,40.130,7221915.000
20160218,40.360,40.360,39.310,39.480,6692633.000
20160219,39.280,39.725,39.060,39.460,8320752.000
20160222,40.100,40.390,40.000,40.240,6931112.000
20160223,39.950,40.080,38.820,38.890,8446720.000
20160224,38.360,38.540,37.480,38.450,8693896.000
20160225,38.610,39.140,38.470,39.130,5937349.000
20160226,39.440,39.770,39.085,39.280,6225492.000
20160229,39.330,39.330,38.510,38.510,5922999.000
20160301,38.800,39.900,38.680,39.890,5966881.000
20160302,39.990,40.530,39.840,40.530,7039582.000
20160303,40.570,40.780,40.220,40.780,5418964.000
20160304,40.830,41.210,40.610,41.020,5669445.000
20160307,40.710,40.940,40.490,40.755,3433321.000
20160308,40.220,40.380,39.740,39.860,5502016.000
20160309,40.150,40.150,39.615,39.740,5080388.000
20160310,39.940,40.200,39.080,39.520,6840826.000
20160311,39.930,40.490,39.610,40.450,7049499.000
20160314,40.480,40.590,39.970,40.490,5775401.000
20160315,40.150,40.840,40.070,40.780,6715154.000
20160316,40.670,41.120,40.370,40.550,5623912.000
20160317,40.540,40.780,40.048,40.700,5872673.000
20160318,41.000,41.420,40.860,41.300,7209316.000
20160321,41.230,41.490,41.060,41.360,4850221.000
20160322,41.020,41.540,40.810,41.330,4454261.000
20160323,41.070,41.530,41.060,41.170,6161492.000
20160324,40.750,40.840,40.460,40.780,5598711.000
