Date,Open,High,Low,Close,Volume
20160104,85.690,85.940,82.440,83.980,1459758.000
20160105,81.720,83.910,80.579,81.410,1985414.000
20160106,80.410,81.760,79.800,81.020,1342234.000
20160107,79.610,80.870,79.370,80.540,1441497.000
20160108,80.900,81.373,77.970,78.150,951246.000
20160111,78.180,78.760,76.961,78.070,974670.000
20160112,78.720,79.620,78.110,79.300,862619.000
20160113,79.320,80.130,75.950,76.090,1184018.000
20160114,76.400,76.440,74.191,75.650,1067589.000
20160115,73.820,74.610,72.790,74.250,1012079.000
20160119,75.240,75.400,73.780,74.580,1079754.000
20160120,73.560,75.190,72.540,74.140,1244632.000
20160121,74.290,74.670,73.520,73.850,924425.000
20160122,75.000,75.287,74.470,75.200,570655.000
20160125,74.730,75.660,74.430,74.620,576885.000
20160126,75.600,75.640,74.265,75.160,543667.000
20160127,75.030,76.150,74.410,74.760,1120150.000
20160128,75.660,77.230,74.790,77.080,1212687.000
20160129,76.930,77.360,75.300,75.600,1284071.000
20160201,75.030,75.990,74.710,75.650,927448.000
20160202,75.040,75.530,73.840,74.240,765899.000
20160203,74.540,76.390,73.665,76.190,1354487.000
20160204,76.030,77.100,75.000,77.050,1018212.000
20160205,76.920,77.000,74.825,75.680,1427075.000
20160208,74.510,74.705,70.840,71.790,1380545.000
20160209,71.030,73.630,70.260,72.620,1210164.000
20160210,73.510,74.970,73.190,73.780,663619.000
20160211,72.410,74.620,72.010,74.150,1279946.000
20160212,75.900,77.510,73.800,76.960,1264500.000
20160216,77.350,79.810,77.350,79.680,1547153.000
20160217,80.060,81.870,79.960,81.460,1771195.000
20160218,81.560,81.910,80.490,80.600,767152.000
20160219,80.540,80.990,79.870,80.650,1267196.000
20160222,81.850,84.565,81.820,83.980,1696540.000
20160223,83.200,84.190,82.220,82.480,957904.000
20160224,81.700,83.440,80.640,83.210,710102.000
20160225,83.480,84.830,83.200,84.340,796741.000
20160226,84.910,86.090,84.420,85.910,1141548.000
20160229,85.400,86.350,84.380,84.460,830565.000
20160301,85.080,87.700,84.510,87.380,1059327.000
20160302,86.370,88.610,86.370,87.540,906418.000
20160303,87.200,88.740,86.540,88.620,772885.000
20160304,88.750,89.390,87.710,89.130,781129.000
20160307,89.260,89.590,87.130,87.990,1017851.000
20160308,87.250,87.990,86.500,87.110,803502.000
20160309,87.210,88.340,86.550,86.970,1238949.000
20160310,86.690,88.920,86.140,87.170,764940.000
20160311,88.180,88.365,87.210,88.250,749134.000
20160314,87.800,88.580,87.460,87.760,589564.000
20160315,87.230,88.710,86.750,88.490,556554.000
20160316,88.050,89.940,87.900,89.510,853232.000
20160317,89.530,90.610,89.270,89.920,737983.000
20160318,90.120,90.120,88.160,88.530,1011025.000
20160321,88.500,89.031,88.210,88.580,723118.000
20160322,88.360,89.700,88.100,89.350,613441.000
20160323,89.370,89.490,88.350,88.890,456271.000
20160324,88.540,89.570,88.110,89.250,371101.000
