Date,Open,High,Low,Close,Volume
20160104,55.300,56.100,54.816,56.070,2539970.905
20160105,56.090,57.305,55.952,57.038,1914227.714
20160106,56.949,57.087,56.011,56.515,2848499.484
20160107,55.922,56.367,55.310,55.488,2318292.533
20160108,55.675,56.130,55.310,55.557,2874936.999
20160111,55.932,56.258,55.705,55.883,3157336.622
20160112,56.080,56.238,54.727,55.211,1897319.386
20160113,55.369,55.962,53.769,53.858,2785552.097
20160114,53.690,54.392,53.394,53.957,2503510.921
20160115,53.157,54.105,52.920,54.006,2290765.611
20160119,54.421,55.285,54.243,54.935,2408282.833
20160120,54.520,54.698,50.866,52.258,4846237.178
20160121,52.565,53.947,51.943,53.315,2454022.957
20160122,53.917,55.646,53.750,54.806,3590046.217
20160125,54.806,55.181,54.135,54.273,2345184.125
20160126,54.293,55.419,54.293,55.231,1993595.103
20160127,54.964,55.102,52.920,53.103,2705029.574
20160128,53.414,54.046,52.881,53.108,2318534.863
20160129,53.769,55.280,53.384,54.609,3395276.786
20160201,54.174,55.261,53.700,54.777,1991820.908
20160202,54.629,54.816,53.641,54.085,2731399.359
20160203,54.421,55.725,54.016,55.300,2601643.657
20160204,55.093,55.883,54.480,55.665,1512085.961
20160205,55.656,55.981,54.984,55.616,2461990.756
20160208,56.041,56.041,52.091,53.029,4711163.820
20160209,52.288,52.456,48.921,49.464,5462481.790
20160210,49.612,50.451,49.326,49.360,3984384.030
20160211,48.694,48.950,47.242,48.091,6252904.217
20160212,48.358,49.286,46.255,47.805,4926183.329
20160216,48.151,49.237,47.324,49.108,3352531.512
20160217,49.197,50.313,49.108,49.849,2235059.216
20160218,50.224,51.310,49.642,50.955,2015973.612
20160219,50.787,52.022,50.283,51.547,2620585.326
20160222,52.061,52.594,51.844,52.318,1381202.193
20160223,52.328,53.444,52.209,52.752,2045335.714
20160224,52.654,53.305,52.308,53.187,1574845.300
20160225,53.374,54.411,53.216,54.392,1918273.069
20160226,54.392,55.290,54.303,54.698,1901889.708
20160229,54.777,55.873,54.688,54.974,2201256.613
20160301,55.784,56.860,55.517,56.845,1866538.978
20160302,56.643,57.739,56.544,57.670,1878756.296
20160303,58.180,58.390,56.270,56.700,5284714.000
20160304,56.870,57.070,55.910,56.750,3292880.000
20160307,56.650,57.490,56.260,57.220,2013851.000
20160308,57.540,57.679,56.220,56.440,1883151.000
20160309,56.670,57.570,56.500,56.770,1555851.000
20160310,57.300,58.180,56.170,57.270,4245660.000
20160311,57.880,59.820,57.800,59.770,3663618.000
20160314,59.680,60.630,59.560,60.530,3095434.000
20160315,60.070,60.949,59.750,60.750,2459028.000
20160316,60.560,61.200,59.700,61.090,2058526.000
20160317,61.230,62.130,60.690,62.000,2141153.000
20160318,62.180,62.190,61.450,61.840,2769460.000
20160321,61.600,62.240,61.330,61.470,2712380.000
20160322,61.070,61.650,60.670,61.550,2536067.000
20160323,61.320,61.615,60.990,61.200,2024595.000
20160324,60.270,61.070,59.580,60.980,2016941.000
