Date,Open,High,Low,Close,Volume
20160104,45.264,45.352,44.809,45.313,15513439.370
20160105,45.639,45.985,45.076,45.955,13641064.610
20160106,45.490,45.945,45.280,45.530,15657157.000
20160107,45.120,45.670,45.000,45.290,17410626.000
20160108,45.660,45.740,44.700,44.810,14668063.000
20160111,45.180,45.230,44.600,45.070,12350880.000
20160112,45.240,45.280,44.530,44.920,13648002.000
20160113,45.110,45.270,44.080,44.146,16927246.000
20160114,44.220,45.190,44.050,44.860,16141348.000
20160115,44.040,44.550,43.860,44.420,24513837.000
20160119,44.740,45.010,44.530,44.870,18160389.000
20160120,44.430,44.770,43.790,44.440,26530056.000
20160121,45.020,46.330,44.430,45.860,28834474.000
20160122,46.410,47.120,46.000,47.050,21127200.000
20160125,47.080,47.780,46.540,47.045,21761345.000
20160126,47.170,48.265,47.050,48.240,21038444.000
20160127,48.290,49.490,48.220,49.060,31469579.000
20160128,49.050,49.460,48.470,49.010,18237573.000
20160129,49.390,49.990,49.220,49.930,23227353.000
20160201,49.940,51.020,49.690,50.750,26395269.000
20160202,50.610,50.630,49.650,49.890,19825541.000
20160203,50.250,50.630,49.420,50.610,19022670.000
20160204,50.520,50.600,49.670,50.430,18368424.000
20160205,50.320,51.200,50.310,50.960,22713984.000
20160208,50.600,50.800,49.770,50.730,24882230.000
20160209,50.060,50.610,49.350,50.180,20539415.000
20160210,50.190,50.324,49.620,49.970,15774445.000
20160211,49.600,50.100,49.260,49.410,27061488.000
20160212,49.540,50.190,49.350,50.100,18694151.000
20160216,50.240,50.300,49.580,50.220,12528673.000
20160217,50.410,50.600,50.080,50.310,13344402.000
20160218,50.120,51.100,49.960,50.960,17473803.000
20160219,50.740,51.070,50.300,50.850,13263370.000
20160222,51.020,51.150,50.770,51.050,11002604.000
20160223,51.020,51.020,50.360,50.610,10158050.000
20160224,50.270,50.870,50.170,50.830,10040420.000
20160225,50.900,51.300,50.780,51.110,11011804.000
20160226,51.150,51.340,50.920,51.010,11388625.000
20160229,50.890,51.380,50.685,50.710,10202537.000
20160301,50.980,51.470,50.950,51.450,10795981.000
20160302,51.370,52.200,51.190,52.100,13382155.000
20160303,52.210,52.220,51.610,51.900,14255177.000
20160304,51.750,52.000,51.500,51.810,12819831.000
20160307,51.530,52.350,51.400,52.200,13086065.000
20160308,52.050,52.750,51.930,52.480,12797612.000
20160309,52.550,52.990,52.000,52.330,14391187.000
20160310,52.550,52.660,51.990,52.310,14077021.000
20160311,52.640,52.780,52.240,52.530,12248626.000
20160314,52.650,52.750,52.230,52.540,9981050.000
20160315,52.240,52.750,52.240,52.686,10380431.000
20160316,52.670,53.380,52.400,53.230,11190217.000
20160317,53.280,53.805,53.190,53.630,12379432.000
20160318,53.810,53.850,53.240,53.260,15123226.000
20160321,53.080,53.590,53.020,53.420,9706229.000
20160322,53.400,53.460,53.100,53.200,8040835.000
20160323,53.130,53.230,52.820,52.930,8548355.000
20160324,52.730,53.620,52.660,53.570,13514480.000
