Date,Open,High,Low,Close,Volume
20160104,132.560,133.030,129.110,130.330,437049.000
20160105,130.470,131.830,129.540,129.860,378164.000
20160106,128.460,131.000,128.010,129.720,413384.000
20160107,127.870,129.430,127.200,128.820,695656.000
20160108,129.590,130.420,126.430,126.730,297301.000
20160111,127.780,128.660,125.250,126.060,649271.000
20160112,127.260,128.370,124.962,126.830,691013.000
20160113,127.440,128.050,123.590,123.930,301099.000
20160114,124.140,127.780,123.680,127.000,407307.000
20160115,124.780,126.620,124.000,126.240,460835.000
20160119,127.470,127.730,124.270,125.850,565574.000
20160120,124.330,126.370,121.915,124.990,650768.000
20160121,125.400,125.850,123.130,124.530,692436.000
20160122,125.660,127.240,124.700,127.190,452942.000
20160125,127.030,129.980,126.750,127.690,946434.000
20160126,124.630,125.370,121.070,122.580,1964698.000
20160127,121.700,123.820,120.660,121.230,967870.000
20160128,120.830,121.000,115.710,117.400,842361.000
20160129,117.890,121.330,117.430,121.190,449211.000
20160201,121.680,121.990,118.950,120.300,750450.000
20160202,119.130,120.190,117.160,117.940,472437.000
20160203,118.450,118.970,115.560,118.830,667706.000
20160204,118.390,119.560,117.250,117.910,432964.000
20160205,117.330,117.330,115.000,115.490,428766.000
20160208,114.340,115.050,112.505,113.620,410976.000
20160209,112.530,117.110,112.000,115.830,534347.000
20160210,116.730,120.180,116.010,117.700,427406.000
20160211,115.190,117.800,115.010,116.470,501174.000
20160212,117.850,119.119,116.585,118.430,368022.000
20160216,119.470,120.220,118.770,120.000,405038.000
20160217,120.420,122.260,119.530,122.130,322318.000
20160218,121.890,122.691,120.940,121.200,278280.000
20160219,121.160,121.850,119.960,121.338,265222.000
20160222,122.590,123.490,121.450,122.690,246139.000
20160223,121.920,122.950,120.480,121.040,332595.000
20160224,120.250,120.910,118.910,120.740,421565.000
20160225,121.090,121.930,119.970,121.810,361764.000
20160226,122.100,122.820,121.100,121.830,248818.000
20160229,121.840,123.000,120.280,120.295,354959.000
20160301,121.090,123.690,120.450,123.550,483263.000
20160302,123.110,126.490,122.925,126.030,617361.000
20160303,125.610,126.660,125.005,126.340,364080.000
20160304,126.450,127.980,125.965,127.120,425873.000
20160307,126.200,128.800,125.180,127.970,374941.000
20160308,127.030,128.150,126.280,127.750,563077.000
20160309,128.380,128.640,127.210,127.960,566844.000
20160310,128.140,129.000,126.610,127.450,499046.000
20160311,128.340,129.500,127.850,129.160,423410.000
20160314,128.520,129.640,127.530,128.990,416643.000
20160315,128.050,129.400,127.580,129.200,478686.000
20160316,128.550,130.370,128.440,129.960,429685.000
20160317,130.050,130.520,127.730,127.780,622206.000
20160318,128.180,130.730,127.100,130.020,667163.000
20160321,130.000,130.450,129.050,130.100,292813.000
20160322,129.420,130.660,129.260,129.960,295791.000
20160323,130.080,131.550,129.290,130.660,366415.000
20160324,130.010,130.860,129.260,129.800,279169.000
