Date,Open,High,Low,Close,Volume
20160104,50.491,50.877,50.094,50.877,1658630.012
20160105,50.867,51.571,49.995,51.432,2281432.667
20160106,51.036,51.526,50.907,51.294,1367680.237
20160107,50.699,51.432,50.669,51.264,1735697.283
20160108,51.343,51.720,50.927,51.006,1599612.763
20160111,51.304,51.740,51.086,51.423,1637944.536
20160112,51.492,51.750,50.580,51.115,1567227.408
20160113,51.403,52.008,51.214,51.403,2039012.942
20160114,51.314,52.939,50.967,52.533,3060770.699
20160115,51.770,52.464,51.571,52.285,2232293.641
20160119,52.454,53.881,52.196,53.723,3484072.290
20160120,53.356,53.762,52.117,52.493,3417433.440
20160121,52.543,53.108,51.561,51.998,2743686.051
20160122,52.295,53.257,51.938,53.157,2479406.504
20160125,53.177,53.296,52.553,52.751,2022942.851
20160126,52.900,53.782,52.781,53.376,2150722.154
20160127,52.969,53.733,52.495,53.108,2111327.621
20160128,53.048,54.739,52.503,54.238,2465804.667
20160129,54.754,55.239,54.446,54.764,2263653.250
20160201,54.714,56.042,54.373,55.586,2415679.744
20160202,55.378,55.666,54.937,55.646,1955020.273
20160203,55.913,56.558,55.725,56.161,2654542.676
20160204,55.606,56.677,55.586,55.913,2311417.369
20160205,55.537,56.617,54.734,56.558,2448237.219
20160208,56.667,57.668,56.112,56.974,2933952.766
20160209,56.736,57.401,56.558,56.895,2444690.565
20160210,56.630,57.090,55.343,56.440,2175596.000
20160211,56.580,56.800,55.730,55.740,1639713.000
20160212,55.770,56.130,54.930,55.660,1284529.000
20160216,55.990,55.990,54.730,55.730,1532942.000
20160217,55.700,55.790,54.910,55.520,1925505.000
20160218,55.430,56.940,55.290,56.620,1508837.000
20160219,56.630,56.915,55.980,56.530,1218262.000
20160222,56.830,57.150,56.340,57.090,1269462.000
20160223,56.860,57.440,56.681,57.340,976786.000
20160224,57.230,57.700,56.720,57.400,1638218.000
20160225,57.680,58.090,57.360,57.970,1312573.000
20160226,57.810,57.970,56.140,56.430,1330726.000
20160229,56.430,57.080,56.280,56.360,1342904.000
20160301,56.790,56.980,55.940,56.350,1915340.000
20160302,56.070,56.350,54.840,56.220,2119038.000
20160303,56.320,56.530,55.260,56.480,1454706.000
20160304,56.200,57.150,55.860,57.020,1200258.000
20160307,56.820,57.120,56.550,56.910,1445282.000
20160308,56.990,57.990,56.840,57.770,1763073.000
20160309,57.770,58.550,57.570,58.080,1621589.000
20160310,57.960,58.380,57.390,57.930,1678803.000
20160311,58.340,58.536,57.910,58.120,1384639.000
20160314,57.950,58.330,57.630,58.040,1581844.000
20160315,57.890,58.470,57.890,58.350,1648550.000
20160316,58.220,58.920,57.590,58.780,1666613.000
20160317,58.920,59.470,58.600,59.260,1462279.000
20160318,59.180,59.440,58.490,58.530,2932958.000
20160321,58.350,58.855,57.860,58.570,1890869.000
20160322,58.640,58.890,58.160,58.250,1496707.000
20160323,57.910,59.180,57.910,58.840,1564005.000
20160324,58.670,59.220,58.600,58.880,986822.000
