Date,Open,High,Low,Close,Volume
20160104,52.682,52.861,51.898,52.523,21158404.910
20160105,52.523,52.858,52.142,52.494,12951185.390
20160106,51.749,52.216,51.432,51.482,17684607.930
20160107,50.628,50.797,49.765,50.023,27439598.800
20160108,50.400,50.465,49.080,49.189,19937833.610
20160111,49.795,49.938,49.259,49.695,17425531.080
20160112,50.489,51.124,50.063,50.985,25783136.400
20160113,51.392,51.402,49.120,49.348,20042625.890
20160114,49.695,50.608,49.219,50.211,21712759.100
20160115,48.217,49.259,47.760,48.435,36950306.400
20160119,48.872,49.160,47.621,47.880,27300354.200
20160120,46.907,47.874,46.520,47.502,38913467.900
20160121,47.661,48.673,47.542,47.641,22963643.100
20160122,48.654,48.892,48.187,48.624,16439211.100
20160125,48.534,48.604,47.254,47.314,21926088.590
20160126,47.383,48.187,47.294,47.919,15381035.050
20160127,47.929,48.921,47.760,48.187,18677755.180
20160128,48.723,49.016,48.227,48.534,19904704.600
20160129,48.901,49.864,48.788,49.824,19725874.640
20160201,49.735,49.795,49.174,49.547,15963263.930
20160202,48.882,48.951,48.405,48.455,23864886.300
20160203,48.450,48.510,46.510,47.620,45114126.000
20160204,47.400,48.610,47.370,48.240,29024336.000
20160205,48.350,48.660,47.600,47.850,22151739.000
20160208,47.250,47.340,46.060,46.490,28744414.000
20160209,45.660,46.760,45.355,46.460,27834622.000
20160210,46.880,47.220,46.110,46.160,18451680.000
20160211,45.000,45.530,44.500,45.150,30022649.000
20160212,45.880,47.385,45.880,47.310,25882029.000
20160216,48.050,48.410,47.570,48.220,17960785.000
20160217,48.550,48.960,47.990,48.140,16263061.000
20160218,48.090,48.140,47.480,47.730,14696271.000
20160219,47.590,48.165,47.330,48.070,16008176.000
20160222,48.830,49.340,48.830,49.170,15998620.000
20160223,48.870,48.920,47.980,48.100,13990012.000
20160224,47.330,47.680,46.560,47.590,17194969.000
20160225,47.750,48.155,47.710,47.750,15556515.000
20160226,48.130,48.535,47.830,48.050,18111179.000
20160229,48.030,48.030,46.910,46.910,18625417.000
20160301,47.140,48.720,47.140,48.709,22749997.000
20160302,48.840,49.570,48.610,49.550,17414199.000
20160303,49.630,49.790,49.070,49.770,13448420.000
20160304,50.010,50.490,49.680,50.120,17233042.000
20160307,49.770,50.160,49.440,50.060,13253414.000
20160308,49.610,49.660,48.920,49.050,16364922.000
20160309,49.370,49.500,48.600,48.780,14791807.000
20160310,48.930,49.130,47.960,48.510,17211564.000
20160311,49.120,50.130,48.881,50.060,16138201.000
20160314,49.970,50.070,49.431,49.880,10988333.000
20160315,49.300,49.990,49.200,49.970,12060667.000
20160316,49.750,50.290,49.280,49.550,15488616.000
20160317,49.490,49.930,48.840,49.740,13393830.000
20160318,50.440,50.700,49.930,50.480,24368249.000
20160321,50.530,50.750,50.170,50.670,12615212.000
20160322,50.210,50.580,50.000,50.390,11325736.000
20160323,50.180,50.330,49.700,49.756,11370562.000
20160324,49.020,49.080,48.520,48.890,18456633.000
