Date,Open,High,Low,Close,Volume
20160104,33.041,33.151,32.533,33.131,3790069.199
20160105,33.310,33.559,33.091,33.499,3069853.445
20160106,33.211,34.017,33.131,33.300,5149459.090
20160107,32.782,33.340,32.364,32.384,4804419.502
20160108,32.563,32.782,31.826,31.836,3718954.945
20160111,31.966,32.215,31.587,31.717,4426133.777
20160112,32.026,32.255,31.787,32.135,3954750.744
20160113,32.370,32.460,31.220,31.240,4763487.000
20160114,31.250,31.470,30.150,30.570,4970678.000
20160115,29.850,30.090,29.090,29.850,7461017.000
20160119,30.110,30.240,29.110,29.410,4748234.000
20160120,28.960,29.625,28.250,29.320,6924178.000
20160121,29.520,29.520,28.999,29.090,5200509.000
20160122,29.510,30.610,29.500,30.420,5517785.000
20160125,29.690,29.880,28.830,28.860,6542018.000
20160126,28.890,29.310,28.730,29.100,3964870.000
20160127,29.080,29.410,28.650,28.770,5229502.000
20160128,29.020,29.240,28.340,28.840,4135891.000
20160129,29.020,29.980,29.020,29.300,5417462.000
20160201,29.350,30.169,29.350,29.970,4983333.000
20160202,29.540,29.620,28.210,28.940,5927853.000
20160203,29.060,29.200,28.170,28.630,4443096.000
20160204,28.460,29.610,28.450,29.200,4569255.000
20160205,29.760,29.960,29.096,29.180,5312089.000
20160208,28.840,29.500,28.065,29.380,7506690.000
20160209,29.360,29.970,29.010,29.060,6007675.000
20160210,29.280,29.840,28.650,28.870,8259977.000
20160211,29.250,29.730,28.310,28.920,15608217.000
20160212,29.430,30.680,28.390,30.660,9856829.000
20160216,31.250,31.310,30.355,30.900,4904043.000
20160217,31.040,31.980,30.990,31.760,6159168.000
20160218,31.440,31.620,30.370,31.380,4759792.000
20160219,31.230,31.490,30.880,31.400,4595763.000
20160222,31.730,31.760,30.480,30.660,4078672.000
20160223,30.680,31.190,30.120,30.800,4069426.000
20160224,30.400,30.800,30.130,30.730,2229465.000
20160225,30.740,30.870,30.160,30.860,3994608.000
20160226,30.940,31.452,30.790,31.090,3051834.000
20160229,31.020,31.570,30.740,31.300,4695501.000
20160301,31.680,32.480,31.475,32.470,6093814.000
20160302,32.240,32.840,32.240,32.750,3804927.000
20160303,32.220,32.810,31.925,32.740,4360702.000
20160304,32.510,32.600,31.841,32.500,3988522.000
20160307,32.590,34.770,32.500,33.610,10108243.000
20160308,33.620,34.300,33.420,33.570,4949154.000
20160309,33.670,34.250,33.650,33.930,4481567.000
20160310,34.050,34.100,32.640,33.070,4118568.000
20160311,33.250,33.350,32.780,33.040,3754103.000
20160314,33.540,33.570,32.680,33.490,4894990.000
20160315,33.190,33.560,33.080,33.310,2573006.000
20160316,33.220,33.890,32.980,33.370,3945971.000
20160317,32.940,33.080,32.570,32.920,4805551.000
20160318,33.090,33.600,32.870,33.410,4400794.000
20160321,33.430,33.570,33.010,33.280,2614446.000
20160322,33.180,33.305,32.680,32.930,3054695.000
20160323,32.990,32.990,31.960,32.130,3447415.000
20160324,31.970,32.155,31.510,32.140,2852907.000
