Date,Open,High,Low,Close,Volume
20160104,8.400,8.700,8.290,8.630,9580109.000
20160105,8.670,8.800,8.130,8.250,8583091.000
20160106,7.940,8.170,7.835,7.900,11587041.000
20160107,7.690,7.840,7.340,7.350,12183048.000
20160108,7.480,7.550,6.860,6.970,17508316.000
20160111,7.050,7.110,6.710,6.870,11356280.000
20160112,7.050,7.130,6.180,6.660,27077101.000
20160113,6.780,6.870,6.020,6.220,31179657.000
20160114,6.280,6.660,6.020,6.660,27114740.000
20160115,6.200,6.260,5.900,6.180,12717647.000
20160119,6.250,6.300,5.820,6.000,14140508.000
20160120,5.720,5.760,4.950,5.620,24789189.000
20160121,5.540,6.440,5.420,6.190,15103907.000
20160122,6.550,6.740,6.090,6.370,13098988.000
20160125,6.080,6.300,5.640,5.650,10931124.000
20160126,5.810,5.900,5.440,5.780,13603259.000
20160127,5.710,6.260,5.570,5.980,15278683.000
20160128,6.340,6.550,6.120,6.210,16629591.000
20160129,6.260,6.765,6.200,6.750,15728208.000
20160201,6.510,6.670,5.900,6.330,32687950.000
20160202,6.120,6.160,5.820,5.980,20215925.000
20160203,6.040,6.395,5.600,6.260,24409644.000
20160204,7.100,7.820,6.990,7.390,32499114.000
20160205,7.370,7.520,6.870,6.930,25869823.000
20160208,6.680,6.790,6.400,6.740,17171570.000
20160209,6.600,6.720,6.065,6.340,13162738.000
20160210,6.250,6.590,6.110,6.230,8381271.000
20160211,6.020,6.270,5.740,6.070,16608319.000
20160212,6.140,6.660,6.050,6.470,12994553.000
20160216,6.660,6.740,6.325,6.610,10955931.000
20160217,6.700,7.130,6.550,6.700,28220702.000
20160218,6.950,6.960,6.215,6.510,12971508.000
20160219,6.470,6.510,5.970,6.210,14145603.000
20160222,6.420,6.920,6.420,6.750,11218940.000
20160223,6.610,6.675,6.070,6.110,8954593.000
20160224,5.930,6.140,5.770,6.070,7931392.000
20160225,6.070,6.130,5.675,5.930,8193043.000
20160226,6.130,6.550,6.070,6.430,11413013.000
20160229,6.430,6.620,6.330,6.400,13121964.000
20160301,6.500,6.550,6.120,6.180,9628384.000
20160302,6.110,6.945,6.000,6.910,107069475.000
20160303,6.900,7.560,6.650,7.330,43912397.000
20160304,7.430,7.900,6.430,6.580,38302787.000
20160307,6.640,6.900,6.550,6.640,23118020.000
20160308,6.550,6.590,5.820,5.830,22615095.000
20160309,6.130,6.630,5.810,6.500,16662075.000
20160310,6.410,6.720,6.200,6.620,17670610.000
20160311,7.230,7.490,7.080,7.250,24339073.000
20160314,7.080,7.260,6.910,7.140,12512847.000
20160315,7.040,7.040,6.670,7.010,8657589.000
20160316,7.120,7.380,6.920,7.330,12557635.000
20160317,7.430,7.860,7.360,7.690,11584213.000
20160318,7.810,7.965,7.280,7.540,13351038.000
20160321,7.440,7.700,7.270,7.610,11808644.000
20160322,7.500,7.850,7.480,7.670,8738781.000
20160323,7.500,7.700,7.240,7.280,8762090.000
20160324,7.030,7.520,6.930,7.410,8598992.000
