Date,Open,High,Low,Close,Volume
20160104,143.535,147.302,141.745,147.252,985320.409
20160105,147.759,148.763,143.773,144.031,903138.048
20160106,141.745,143.604,139.549,140.374,790850.959
20160107,137.451,139.827,136.706,136.775,1211488.184
20160108,138.286,139.141,134.449,134.747,738438.789
20160111,135.672,136.626,131.636,133.594,888317.238
20160112,134.946,135.533,130.593,133.475,775252.514
20160113,134.012,135.115,128.903,129.161,999017.283
20160114,130.255,134.280,129.082,133.207,1160206.628
20160115,130.225,130.404,124.937,127.829,1341166.291
20160119,129.221,130.712,125.036,126.448,1330790.914
20160120,124.241,131.318,122.839,129.877,1580808.483
20160121,130.841,135.921,130.354,132.610,1160074.076
20160122,135.155,136.636,130.195,132.789,1507823.002
20160125,131.944,133.739,130.265,132.382,1217604.539
20160126,132.958,135.861,132.143,133.445,1035782.918
20160127,132.471,134.469,130.543,131.646,1255453.623
20160128,133.197,135.255,130.742,131.199,1879577.370
20160129,133.863,138.217,131.358,133.535,2679728.173
20160201,134.141,137.410,131.467,134.658,1787745.740
20160202,133.694,134.042,130.960,131.457,1270778.172
20160203,133.038,134.330,130.771,134.251,1244536.041
20160204,136.099,140.253,135.773,138.962,1357078.572
20160205,138.873,140.662,136.278,137.014,829923.243
20160208,135.911,136.268,132.004,134.360,967456.416
20160209,132.541,137.252,132.541,136.249,1018694.527
20160210,137.392,137.799,133.475,133.555,749174.260
20160211,130.622,132.273,127.461,128.933,1063389.467
20160212,131.010,131.979,129.499,131.388,1064818.039
20160216,133.197,135.165,130.553,134.589,1311872.549
20160217,135.781,138.912,135.185,138.008,860718.782
20160218,137.372,139.837,136.646,139.648,797474.729
20160219,138.455,142.640,138.455,142.083,1197758.617
20160222,144.240,147.957,143.932,147.322,1179750.808
20160223,147.461,150.043,146.477,149.260,1178872.520
20160224,148.220,151.620,146.110,151.200,1094855.000
20160225,151.920,152.778,148.900,151.870,1079348.000
20160226,152.120,155.910,151.880,154.550,857884.000
20160229,154.510,157.800,153.680,155.280,1059302.000
20160301,156.490,158.070,155.290,157.520,644777.000
20160302,157.300,159.000,157.020,158.820,711040.000
20160303,158.970,159.040,155.800,158.090,956198.000
20160304,158.680,162.190,157.220,161.180,1052728.000
20160307,160.500,161.450,158.510,159.150,954529.000
20160308,158.490,159.315,155.880,158.560,838122.000
20160309,158.650,159.800,156.860,158.510,688463.000
20160310,159.570,160.810,156.620,158.390,836166.000
20160311,160.380,165.850,160.240,164.700,1284018.000
20160314,163.650,167.700,163.405,165.990,913098.000
20160315,166.450,170.550,165.310,168.810,1491093.000
20160316,167.050,175.000,166.040,174.280,1339995.000
20160317,173.840,177.990,172.950,176.650,975345.000
20160318,177.180,179.670,176.656,177.940,1292919.000
20160321,178.220,179.580,176.300,177.460,710870.000
20160322,177.330,178.160,175.300,177.120,670588.000
20160323,176.700,177.480,174.830,174.960,640478.000
20160324,174.000,175.260,172.210,175.040,764309.000
