Date,Open,High,Low,Close,Volume
20160104,6.370,6.370,6.070,6.115,3461877.000
20160105,6.100,6.180,6.020,6.080,2288544.000
20160106,6.000,6.140,5.920,5.945,2418844.000
20160107,5.880,6.090,5.840,5.860,2399797.000
20160108,6.000,6.110,5.880,5.890,2799912.000
20160111,5.910,6.010,5.800,5.965,2019032.000
20160112,6.040,6.050,5.540,5.580,2899732.000
20160113,5.610,5.768,5.060,5.180,3447858.000
20160114,5.220,5.400,5.200,5.270,2623239.000
20160115,5.170,5.330,5.000,5.245,2616293.000
20160119,5.250,5.370,5.130,5.145,2690197.000
20160120,5.050,5.120,4.750,4.960,2600222.000
20160121,5.020,5.110,4.820,5.030,2094633.000
20160122,5.200,5.530,5.130,5.495,2435274.000
20160125,5.590,5.745,5.410,5.635,1816822.000
20160126,5.600,5.775,5.590,5.740,1277518.000
20160127,5.740,5.865,5.680,5.760,1529562.000
20160128,5.830,5.850,5.500,5.560,1435691.000
20160129,5.570,5.810,5.570,5.770,1700614.000
20160201,5.740,5.820,5.550,5.800,2251670.000
20160202,5.690,5.780,5.430,5.450,1415183.000
20160203,5.460,5.585,5.220,5.370,1577016.000
20160204,5.330,5.610,5.300,5.440,2050855.000
20160205,5.500,5.730,5.450,5.640,2303287.000
20160208,5.560,5.600,5.260,5.375,1975855.000
20160209,5.250,5.521,5.220,5.340,1444469.000
20160210,5.430,5.590,5.380,5.430,1145698.000
20160211,5.340,5.830,5.310,5.780,2061841.000
20160212,5.850,5.900,5.550,5.590,1801446.000
20160216,5.540,5.760,5.500,5.655,1293631.000
20160217,5.690,6.125,5.690,6.120,2322374.000
20160218,6.110,6.150,5.850,6.030,1595642.000
20160219,6.070,6.310,5.950,6.300,2571154.000
20160222,6.290,6.485,6.250,6.450,1539180.000
20160223,6.470,6.590,6.380,6.430,1325846.000
20160224,6.320,6.690,6.270,6.600,1920726.000
20160225,6.740,6.900,6.050,6.730,2829448.000
20160226,6.840,7.670,6.800,7.250,5919330.000
20160229,7.670,7.940,7.300,7.510,4087789.000
20160301,7.680,7.680,7.000,7.320,2823912.000
20160302,7.240,7.790,7.200,7.750,3370956.000
20160303,7.660,7.940,7.600,7.930,3311215.000
20160304,7.870,8.350,7.800,7.878,4888780.000
20160307,7.770,8.050,7.750,7.965,1948877.000
20160308,7.870,8.000,7.569,7.800,1934246.000
20160309,7.750,8.090,7.639,8.040,2336803.000
20160310,7.960,8.190,7.910,8.090,2061007.000
20160311,8.140,8.300,8.060,8.220,1934543.000
20160314,8.050,8.270,7.940,8.190,2163859.000
20160315,8.060,8.160,7.360,7.490,2799026.000
20160316,7.490,7.620,7.120,7.590,2201231.000
20160317,7.630,7.980,7.450,7.880,2754330.000
20160318,7.890,7.950,7.430,7.680,2317813.000
20160321,7.670,7.700,7.320,7.370,1549746.000
20160322,7.430,7.560,7.320,7.530,1283336.000
20160323,7.490,7.540,7.270,7.300,1233631.000
20160324,7.250,7.500,7.130,7.495,1852546.000
