Date,Open,High,Low,Close,Volume
20160104,24.611,25.642,24.418,25.295,7598694.350
20160105,25.469,25.729,24.987,25.430,8906742.750
20160106,24.524,24.823,22.084,22.151,12603527.011
20160107,21.419,21.988,19.866,19.876,12357978.150
20160108,20.309,20.471,18.776,19.577,15678483.850
20160111,19.586,19.750,17.657,18.014,15261761.250
20160112,18.255,18.535,14.649,15.941,46670307.700
20160113,15.893,15.951,12.315,13.125,43648455.350
20160114,12.942,17.783,12.768,17.657,42345852.000
20160115,15.218,17.359,15.131,15.517,23129440.660
20160119,15.970,17.021,14.861,15.218,21416283.410
20160120,14.644,15.150,13.617,14.989,14085518.290
20160121,14.890,16.192,14.707,15.468,16548390.850
20160122,16.307,19.143,16.269,19.037,28270233.600
20160125,18.622,21.014,17.590,17.677,18910893.540
20160126,18.265,19.924,17.629,19.692,18387416.350
20160127,19.548,19.702,17.600,18.583,23427479.350
20160128,19.683,20.329,18.352,18.603,16090662.150
20160129,18.757,19.133,17.918,18.603,13547247.290
20160201,18.217,19.143,17.465,18.805,11988234.540
20160202,18.178,18.767,17.841,18.005,9915179.330
20160203,18.863,18.863,16.375,17.764,14266433.490
20160204,17.870,18.429,17.166,18.082,10785396.110
20160205,17.754,17.908,16.351,16.500,10838631.790
20160208,14.398,14.466,9.856,10.762,60720980.000
20160209,10.859,11.717,10.608,11.553,25459167.020
20160210,11.148,13.289,10.888,12.383,17973288.550
20160211,11.649,13.482,11.341,12.836,14472561.731
20160212,13.115,13.983,12.537,12.980,8434222.470
20160216,13.385,14.514,13.318,14.475,11219155.930
20160217,14.851,15.425,14.523,15.112,9067043.830
20160218,15.160,15.710,14.282,15.362,11649073.400
20160219,14.957,15.189,14.466,14.977,8285659.950
20160222,15.382,15.816,15.083,15.560,7550552.033
20160223,15.478,15.555,14.861,15.034,8351140.250
20160224,14.745,16.105,14.176,16.037,6944162.231
20160225,15.189,16.250,14.388,15.459,18541473.496
20160226,15.767,16.192,14.948,15.088,10302917.100
20160229,15.189,15.960,14.996,15.430,10387900.780
20160301,15.565,15.999,15.218,15.941,5976616.307
20160302,15.999,16.626,15.738,16.520,6039324.632
20160303,16.471,17.503,16.462,17.436,6971635.280
20160304,17.966,18.660,17.841,18.429,16843586.760
20160307,18.631,19.191,18.120,18.371,14043014.930
20160308,18.217,18.275,16.539,16.635,17016274.460
20160309,17.050,17.551,16.683,17.320,12517671.150
20160310,17.250,17.300,14.830,15.880,33180179.000
20160311,16.410,16.660,15.920,16.000,10627561.000
20160314,15.920,16.770,15.710,16.500,8728830.000
20160315,16.140,16.180,15.530,16.140,8323625.000
20160316,16.200,17.540,16.200,17.450,8762532.000
20160317,17.790,18.210,17.170,17.760,8840374.000
20160318,17.970,18.380,17.820,18.080,10212353.000
20160321,17.990,18.020,17.210,17.345,6110097.000
20160322,17.170,17.720,16.950,17.630,4862163.000
20160323,17.740,17.880,15.950,16.270,8732510.000
20160324,15.790,15.800,14.850,15.350,14469124.000
