Date,Open,High,Low,Close,Volume
20160104,60.055,61.038,59.916,61.028,10870704.680
20160105,61.574,62.587,61.395,62.477,11908704.030
20160106,62.021,63.480,62.011,63.133,15622556.020
20160107,62.507,64.751,62.458,64.532,24260426.400
20160108,64.602,64.929,62.944,63.053,16319723.720
20160111,63.282,63.996,63.157,63.758,11333046.570
20160112,63.907,64.254,62.965,63.133,10378929.580
20160113,63.262,63.282,61.376,61.455,12883254.220
20160114,61.544,63.153,61.366,62.587,11216870.050
20160115,61.058,62.021,60.810,61.465,13548207.400
20160119,61.792,62.339,61.525,62.100,11253764.160
20160120,61.346,61.872,59.758,60.413,16866880.220
20160121,60.532,62.329,60.413,61.395,11392059.420
20160122,61.981,62.795,61.654,62.210,8240270.310
20160125,62.319,63.351,62.090,62.984,11214568.590
20160126,62.894,63.996,62.795,63.460,7956325.470
20160127,63.629,64.701,63.391,63.480,9733052.680
20160128,63.559,64.036,62.964,63.718,10719405.690
20160129,64.254,66.041,64.205,65.872,14083725.680
20160201,65.406,67.431,65.406,66.994,13662660.850
20160202,66.756,67.341,65.793,66.359,12274944.950
20160203,66.815,67.004,64.592,65.783,11238684.170
20160204,65.277,66.061,64.532,65.922,12332678.460
20160205,65.912,67.034,65.396,66.498,13310044.990
20160208,66.011,66.656,64.684,66.428,17869144.760
20160209,65.009,65.922,64.205,65.336,13304039.340
20160210,65.704,66.101,65.163,65.297,9006362.710
20160211,64.542,65.287,64.295,64.820,10119745.980
20160212,65.038,65.763,64.393,65.684,7988968.400
20160216,66.121,66.309,65.019,65.406,9759051.780
20160217,65.614,66.121,65.326,65.654,10896613.240
20160218,63.272,64.304,61.892,63.619,25319822.170
20160219,63.420,64.289,62.974,64.185,13575449.140
20160222,64.612,65.654,64.483,65.128,9437149.590
20160223,65.356,66.111,64.800,66.011,9877783.764
20160224,65.704,66.835,65.237,66.607,9319341.860
20160225,66.974,67.629,66.835,67.550,8572232.870
20160226,67.580,67.699,65.813,66.011,10284798.200
20160229,66.309,66.458,65.733,65.813,7545529.260
20160301,66.160,66.438,65.515,65.942,8810921.010
20160302,65.723,66.180,65.515,65.694,8429636.022
20160303,65.465,65.713,64.403,65.644,11110615.150
20160304,65.654,66.786,65.604,66.269,9306986.040
20160307,66.130,67.977,65.773,67.351,12125595.140
20160308,67.232,67.967,66.984,67.540,9135471.790
20160309,67.790,67.990,67.120,67.520,7304611.000
20160310,67.550,68.035,66.400,67.410,8801102.000
20160311,67.770,67.940,66.800,67.130,7394618.000
20160314,67.150,67.670,66.960,67.370,5448310.000
20160315,67.000,68.349,66.870,68.080,6979599.000
20160316,67.940,68.340,67.250,68.000,6774212.000
20160317,67.820,68.920,67.241,67.430,10216126.000
20160318,67.480,68.030,66.750,66.950,12313087.000
20160321,67.030,68.380,66.970,67.980,8168897.000
20160322,68.000,68.680,67.790,67.890,6600915.000
20160323,68.010,68.100,67.440,67.470,5540561.000
20160324,67.430,68.040,67.320,68.010,5658548.000
