Date,Open,High,Low,Close,Volume
20160104,70.910,70.980,69.619,70.413,1536872.814
20160105,70.771,71.278,70.324,70.950,1594675.538
20160106,70.155,70.855,68.447,69.142,1873549.473
20160107,68.178,69.092,67.930,68.407,1607088.689
20160108,68.784,69.788,68.040,68.189,1159445.293
20160111,68.874,69.788,67.950,68.675,1171100.407
20160112,69.351,69.996,68.099,69.112,793874.461
20160113,69.301,69.301,66.331,66.957,1824744.317
20160114,66.877,67.116,65.179,66.301,1738970.374
20160115,64.414,65.705,63.560,64.980,1646842.369
20160119,65.904,66.232,63.461,64.315,1274934.634
20160120,63.272,65.397,61.295,64.563,2303280.452
20160121,64.503,66.818,63.967,65.497,1701428.184
20160122,66.540,67.281,65.844,66.619,1088472.131
20160125,66.589,66.649,63.113,63.321,1860878.139
20160126,63.510,65.377,62.994,64.921,1551545.770
20160127,64.702,65.556,63.878,64.186,1515211.967
20160128,64.911,65.298,62.596,62.964,1292350.889
20160129,63.113,64.583,62.984,64.464,1749003.461
20160201,64.146,65.119,63.778,64.652,1405030.264
20160202,63.619,64.136,61.995,62.219,1456614.983
20160203,62.815,63.143,61.404,62.994,1550802.466
20160204,62.874,64.474,62.795,64.166,1220891.693
20160205,63.659,64.344,62.189,62.269,1590236.367
20160208,61.494,61.901,60.183,61.196,2363607.582
20160209,62.735,64.335,61.593,62.785,3521533.152
20160210,63.431,64.841,62.785,64.225,2145729.299
20160211,63.163,64.444,62.745,63.212,1303994.014
20160212,63.917,65.228,63.103,65.159,1123140.179
20160216,65.795,67.205,65.745,66.659,1455661.459
20160217,67.583,69.172,67.354,68.486,1583311.073
20160218,68.149,68.735,66.972,68.258,1276558.438
20160219,67.831,68.884,67.672,68.705,947463.106
20160222,69.430,70.215,69.430,70.165,865526.100
20160223,70.076,70.652,69.649,69.778,1525112.711
20160224,68.715,70.364,67.940,70.235,1051917.362
20160225,70.642,71.188,70.096,71.178,1267722.091
20160226,72.211,72.748,71.566,72.082,1041048.074
20160229,71.943,72.986,71.675,72.340,1430322.398
20160301,73.165,74.386,72.758,74.148,1380873.882
20160302,73.989,75.151,73.835,74.535,1661477.251
20160303,74.526,75.211,74.297,75.102,1145419.112
20160304,75.231,76.194,75.161,75.539,1154198.855
20160307,75.350,76.314,75.072,75.718,1306509.182
20160308,75.181,75.400,73.781,73.870,1258885.483
20160309,74.430,74.520,73.600,74.050,784684.000
20160310,74.310,75.120,72.890,73.990,887742.000
20160311,74.880,76.600,74.490,76.500,1040284.000
20160314,76.760,77.390,76.140,76.430,983593.000
20160315,76.020,76.630,75.800,76.100,986185.000
20160316,75.690,77.400,75.622,77.290,1097138.000
20160317,76.940,79.260,76.870,79.060,2011842.000
20160318,79.710,81.080,79.260,80.780,2334873.000
20160321,79.000,79.630,75.090,77.060,4537165.000
20160322,76.350,76.700,75.290,76.140,1633120.000
20160323,76.120,76.120,74.390,74.730,1240971.000
20160324,73.820,75.220,73.420,74.960,892651.000
