Date,Open,High,Low,Close,Volume
20160104,66.603,68.833,64.228,68.332,4067969.359
20160105,68.799,72.177,67.219,69.623,4177728.853
20160106,67.308,68.441,64.943,65.987,3240284.713
20160107,63.532,63.612,59.419,59.806,5406742.987
20160108,61.138,62.688,57.183,57.362,5577600.920
20160111,58.624,59.608,55.653,56.418,4431717.026
20160112,58.038,58.266,54.580,55.265,3731780.745
20160113,55.802,56.527,51.305,52.145,5295982.920
20160114,52.424,52.473,49.632,51.172,4875234.060
20160115,52.901,58.753,51.718,57.998,10061820.670
20160119,59.498,60.730,56.945,58.743,5770122.338
20160120,57.153,57.382,52.185,55.961,6159628.483
20160121,56.915,57.123,53.984,56.319,4061101.560
20160122,58.624,60.412,57.551,58.793,3500872.349
20160125,60.273,63.344,59.786,60.621,5586966.993
20160126,61.227,63.334,59.280,63.006,2999632.265
20160127,62.002,64.586,60.859,61.813,3052062.375
20160128,64.089,65.987,61.893,62.757,3631635.923
20160129,63.304,66.931,63.110,66.910,3013803.083
20160201,66.086,67.249,63.145,66.712,3781334.471
20160202,65.122,65.530,60.870,61.605,5333138.099
20160203,62.072,63.502,59.131,62.767,4184937.406
20160204,62.330,65.082,60.919,63.364,3573184.765
20160205,62.459,63.930,61.108,61.505,2362566.684
20160208,60.691,61.058,56.686,58.356,3763474.528
20160209,57.104,60.383,56.219,58.077,2553933.684
20160210,58.634,59.816,57.253,57.769,2701944.702
20160211,58.087,61.267,56.150,59.359,5098134.168
20160212,62.429,68.838,61.903,68.659,10247764.461
20160216,70.388,75.525,69.405,74.184,8990367.020
20160217,75.178,77.771,73.190,75.724,6795702.539
20160218,75.168,79.242,73.081,77.930,6224215.540
20160219,76.570,77.690,75.650,77.180,4189938.000
20160222,78.990,81.320,78.620,79.530,4810978.000
20160223,79.710,80.770,78.230,79.650,2984431.000
20160224,78.440,80.030,75.570,79.680,4584319.000
20160225,78.920,80.800,77.800,80.620,2628238.000
20160226,81.390,83.600,81.220,82.170,2901801.000
20160229,82.270,83.120,81.610,82.490,2343195.000
20160301,84.450,86.240,84.150,84.500,5508962.000
20160302,85.060,85.365,83.280,85.000,5318056.000
20160303,84.150,88.870,83.580,88.340,5433105.000
20160304,88.370,88.390,84.320,85.440,5895534.000
20160307,83.250,85.800,82.080,83.970,4951391.000
20160308,83.150,83.850,80.120,80.260,3429190.000
20160309,81.420,82.440,79.770,81.560,2319744.000
20160310,82.740,84.770,81.300,84.060,3219752.000
20160311,83.540,87.210,83.200,86.050,3828964.000
20160314,86.160,87.170,84.660,85.210,2493083.000
20160315,86.060,86.490,81.921,83.250,3309172.000
20160316,82.890,86.600,82.700,86.300,2333779.000
20160317,86.700,89.280,86.510,88.810,3200097.000
20160318,91.680,96.560,91.360,94.020,6701852.000
20160321,93.040,93.300,90.061,92.750,2682457.000
20160322,94.330,96.600,93.680,95.000,3950914.000
20160323,94.750,94.770,91.500,91.770,2202438.000
20160324,90.500,93.680,89.550,93.470,3252478.000
