Date,Open,High,Low,Close,Volume
20160104,7.799,8.088,7.571,8.088,9075880.063
20160105,8.167,8.197,7.836,8.157,7441255.191
20160106,7.998,8.078,7.799,7.879,9300496.784
20160107,7.650,7.720,7.154,7.253,10733581.471
20160108,7.452,7.591,6.995,7.005,8996522.742
20160111,7.074,7.203,6.647,6.806,9908562.318
20160112,6.935,7.064,6.390,6.856,13606316.811
20160113,6.975,7.114,6.488,6.687,8431132.427
20160114,6.786,7.253,6.617,7.233,10439517.785
20160115,6.865,6.955,6.518,6.846,8129815.015
20160119,7.134,7.253,6.707,7.173,6320875.178
20160120,6.885,7.263,6.657,7.054,11122521.884
20160121,7.144,7.484,6.940,7.263,9800795.461
20160122,7.561,7.745,7.074,7.183,8310290.541
20160125,7.303,7.352,6.826,6.885,8321842.675
20160126,7.173,7.740,6.940,7.700,12356405.513
20160127,6.955,6.955,6.478,6.610,20914991.690
20160128,6.577,6.816,6.110,6.667,11388517.133
20160129,6.587,6.975,6.528,6.955,7873248.019
20160201,6.667,7.303,6.637,7.193,8416314.815
20160202,7.054,7.352,6.975,7.044,4707251.326
20160203,7.352,7.750,7.114,7.491,9800507.351
20160204,7.750,8.624,7.750,8.177,14353477.422
20160205,8.127,8.465,7.690,7.889,9341224.932
20160208,7.650,8.147,7.581,7.710,5573250.701
20160209,7.540,7.540,7.050,7.340,9324488.000
20160210,7.360,7.630,7.075,7.085,5146412.000
20160211,6.850,6.980,6.670,6.840,9160889.000
20160212,7.080,7.550,6.940,7.390,9447028.000
20160216,7.500,7.700,7.170,7.510,7392896.000
20160217,7.600,8.750,7.580,8.550,18298823.000
20160218,8.590,8.630,8.020,8.310,7761934.000
20160219,8.220,8.410,7.890,8.100,7770423.000
20160222,8.320,8.800,8.320,8.475,7835056.000
20160223,8.300,8.300,7.850,8.030,8360211.000
20160224,7.680,7.800,7.220,7.720,11185370.000
20160225,7.700,8.050,7.430,7.860,11172411.000
20160226,8.030,8.500,7.990,8.310,11744078.000
20160229,8.540,9.240,8.410,9.090,16979386.000
20160301,9.350,9.350,8.520,9.170,15624719.000
20160302,9.600,11.490,9.510,11.350,35984303.000
20160303,11.290,12.630,11.250,12.350,42500953.000
20160304,12.490,14.540,12.250,12.990,49910671.000
20160307,13.280,13.976,12.770,13.550,33504347.000
20160308,13.030,13.320,11.950,12.330,21743245.000
20160309,12.530,13.060,11.670,12.525,16951527.000
20160310,11.930,14.370,11.920,14.365,27669486.000
20160311,14.590,15.200,13.880,14.540,29600223.000
20160314,14.270,15.120,14.110,14.560,22982153.000
20160315,14.140,15.100,13.770,14.280,22511127.000
20160316,14.130,15.770,14.100,15.470,24308075.000
20160317,15.530,15.790,14.700,15.420,23040872.000
20160318,15.800,16.260,15.440,15.780,21698115.000
20160321,15.200,15.470,14.670,15.140,15545803.000
20160322,14.850,15.786,14.590,15.580,11178638.000
20160323,15.250,16.155,14.750,14.830,18606968.000
20160324,14.450,15.840,14.020,15.770,17243212.000
