Date,Open,High,Low,Close,Volume
20160104,35.313,35.571,35.095,35.412,2483943.556
20160105,35.382,35.839,34.896,35.769,2030338.522
20160106,35.541,36.295,35.422,36.136,4882410.516
20160107,35.799,36.354,35.709,36.285,5001959.336
20160108,36.275,36.443,35.779,35.868,2777401.794
20160111,35.928,36.304,35.908,36.166,3726341.206
20160112,35.947,36.304,35.571,36.017,3165584.094
20160113,35.997,36.374,35.749,35.809,4570056.966
20160114,35.868,36.622,35.848,36.404,3359308.053
20160115,35.928,36.423,35.690,36.196,3485501.167
20160119,36.324,37.038,36.261,36.900,5093024.661
20160120,36.791,36.929,35.809,36.304,5178215.660
20160121,36.344,36.751,35.610,35.839,5032638.788
20160122,36.007,36.364,35.709,36.334,4337433.650
20160125,36.394,36.453,35.992,36.235,2109678.217
20160126,36.344,36.791,36.096,36.483,2485883.083
20160127,36.384,36.860,36.081,36.394,3494811.130
20160128,36.057,37.524,35.759,37.257,2940092.426
20160129,37.227,37.941,37.187,37.891,4658930.964
20160201,37.772,38.417,37.584,38.228,5840908.776
20160202,38.010,38.670,37.971,38.645,4911933.137
20160203,38.556,39.101,38.427,38.922,8028904.810
20160204,38.803,39.180,38.496,38.744,5256759.383
20160205,38.595,39.299,38.149,39.210,4828440.461
20160208,39.180,39.884,38.541,38.942,6804648.488
20160209,38.913,39.413,38.704,39.279,3965556.650
20160210,39.170,39.468,38.456,39.041,4355130.922
20160211,38.962,39.141,38.546,38.655,4337533.852
20160212,38.714,38.972,38.139,38.496,3705202.099
20160216,38.595,38.595,38.109,38.496,2870120.836
20160217,38.615,38.625,38.179,38.610,3710950.736
20160218,38.694,39.488,38.536,39.319,3505211.514
20160219,39.389,39.443,38.893,39.002,3713682.583
20160222,39.151,39.428,38.942,39.329,2108785.893
20160223,39.210,39.577,39.032,39.488,2760762.910
20160224,39.527,39.964,39.245,39.567,2624229.926
20160225,39.617,40.088,39.478,39.874,2674909.686
20160226,39.636,39.775,38.813,38.942,4294238.268
20160229,38.942,39.587,38.883,39.220,4210424.137
20160301,39.339,39.567,38.714,39.121,4333607.115
20160302,38.913,39.299,37.941,39.260,4776084.982
20160303,39.200,39.299,38.714,39.279,2863244.670
20160304,39.022,39.746,38.754,39.607,4923728.578
20160307,39.557,39.874,39.418,39.726,3950960.066
20160308,39.865,40.341,39.597,40.321,3937913.614
20160309,40.301,40.598,40.182,40.370,3221583.980
20160310,40.341,40.529,39.993,40.410,2861366.901
20160311,40.500,40.760,40.290,40.360,2891650.000
20160314,40.370,40.570,40.160,40.410,3146534.000
20160315,40.290,40.790,40.270,40.500,2301314.000
20160316,40.380,41.040,40.090,40.930,2214379.000
20160317,41.000,41.590,40.690,41.480,2763956.000
20160318,41.520,41.610,41.060,41.080,3310137.000
20160321,41.240,41.280,40.590,41.060,1980064.000
20160322,41.050,41.210,40.760,40.780,1967697.000
20160323,40.620,41.285,40.580,41.130,2283580.000
20160324,41.120,41.390,40.940,41.240,1825307.000
