Date,Open,High,Low,Close,Volume
20160104,10.410,10.430,10.130,10.300,7962133.000
20160105,10.300,10.410,10.230,10.280,5734171.000
20160106,10.130,10.190,10.030,10.150,6415823.000
20160107,9.950,9.990,9.800,9.870,9728303.000
20160108,9.940,9.990,9.540,9.580,10643000.000
20160111,9.640,9.660,9.240,9.405,8442921.000
20160112,9.530,9.570,9.300,9.540,5942578.000
20160113,9.590,9.610,9.200,9.220,5337573.000
20160114,9.270,9.350,9.060,9.180,8786744.000
20160115,8.920,9.120,8.840,9.090,8688791.000
20160119,9.230,9.250,8.810,8.910,6252678.000
20160120,8.750,8.840,8.480,8.750,8574989.000
20160121,8.750,9.120,8.665,9.040,8372560.000
20160122,9.210,9.260,9.010,9.070,5585484.000
20160125,9.040,9.200,8.940,9.100,9094943.000
20160126,9.130,9.310,9.070,9.270,10503496.000
20160127,9.230,9.440,9.165,9.230,8093000.000
20160128,9.310,9.970,9.160,9.220,13531025.000
20160129,9.350,9.890,9.270,9.750,18245495.000
20160201,9.675,9.680,9.350,9.420,16466765.000
20160202,9.330,9.360,8.910,8.945,16036140.000
20160203,9.040,9.250,8.920,9.235,15046191.000
20160204,9.250,9.510,9.200,9.370,9491376.000
20160205,9.400,9.580,9.360,9.450,12241619.000
20160208,9.340,9.390,8.960,9.040,11961050.000
20160209,8.980,9.000,8.650,8.750,8136409.000
20160210,8.840,8.990,8.790,8.890,7734508.000
20160211,8.720,8.790,8.530,8.680,7978084.000
20160212,8.720,8.850,8.640,8.770,6090169.000
20160216,8.900,9.040,8.720,9.020,7259050.000
20160217,9.090,9.350,9.065,9.180,5191526.000
20160218,9.230,9.370,9.180,9.335,5382644.000
20160219,9.280,9.420,9.180,9.370,5410937.000
20160222,9.440,9.610,9.420,9.590,4935891.000
20160223,9.530,9.610,9.455,9.500,6462013.000
20160224,9.400,9.575,9.220,9.560,5393948.000
20160225,9.580,9.660,9.510,9.640,5426922.000
20160226,9.660,9.750,9.590,9.660,6620195.000
20160229,9.630,9.730,9.560,9.650,8399721.000
20160301,9.690,9.950,9.680,9.930,5110583.000
20160302,9.910,10.220,9.880,10.200,6733625.000
20160303,10.220,10.430,10.190,10.410,5772945.000
20160304,10.390,10.540,10.370,10.490,4709091.000
20160307,10.430,10.510,10.360,10.425,4819777.000
20160308,10.380,10.440,10.170,10.250,4412540.000
20160309,10.310,10.559,10.260,10.530,6696115.000
20160310,10.540,10.600,10.265,10.450,4535658.000
20160311,10.540,10.790,10.500,10.780,4213309.000
20160314,10.690,10.715,10.420,10.590,5779102.000
20160315,10.520,10.590,10.400,10.550,3683826.000
20160316,10.530,10.650,10.440,10.590,4012889.000
20160317,10.570,10.780,10.560,10.690,7043152.000
20160318,10.740,10.770,10.680,10.750,6336284.000
20160321,10.700,10.740,10.610,10.660,3833158.000
20160322,10.650,10.790,10.635,10.690,5491780.000
20160323,10.720,10.740,10.520,10.570,4167559.000
20160324,10.510,10.640,10.345,10.635,3592303.000
