Date,Open,High,Low,Close,Volume
20160104,101.120,103.070,100.160,101.820,1913126.000
20160105,102.000,104.460,101.740,103.950,2157225.000
20160106,102.390,105.270,102.370,104.290,2073835.000
20160107,102.160,103.640,101.430,101.980,1691410.000
20160108,102.210,103.160,101.370,101.590,1508531.000
20160111,101.690,102.400,98.620,99.750,1441919.000
20160112,100.680,103.420,99.880,102.860,1771880.000
20160113,103.500,105.290,100.860,101.210,1756674.000
20160114,101.430,103.740,100.950,102.740,1089752.000
20160115,100.230,102.310,99.250,101.050,1329041.000
20160119,101.790,101.930,98.070,99.230,1691939.000
20160120,97.880,99.070,94.850,98.310,1639267.000
20160121,98.520,98.880,97.110,98.150,880994.000
20160122,99.270,99.770,98.200,99.180,856884.000
20160125,98.470,99.800,98.470,99.120,977186.000
20160126,99.580,102.100,99.480,101.760,1372787.000
20160127,101.890,103.700,100.940,101.760,1885936.000
20160128,103.010,103.940,97.081,97.500,2192363.000
20160129,97.350,99.420,97.310,99.180,1999865.000
20160201,98.230,99.760,97.760,99.020,1474147.000
20160202,98.430,99.370,97.730,98.040,1131847.000
20160203,98.730,98.990,95.852,97.250,1342613.000
20160204,97.670,98.651,96.940,97.520,1497231.000
20160205,96.060,96.490,94.710,95.070,2788138.000
20160208,94.950,95.620,90.310,92.060,2681097.000
20160209,91.610,92.960,90.730,91.920,1466519.000
20160210,92.090,94.550,92.090,92.910,1205542.000
20160211,91.470,92.420,90.780,91.670,1427514.000
20160212,88.450,92.340,88.270,91.730,1044329.000
20160216,91.920,93.670,91.655,93.600,1136112.000
20160217,94.110,95.850,93.940,95.330,1132059.000
20160218,95.370,96.000,94.690,95.080,769976.000
20160219,94.940,95.200,94.060,94.770,639880.000
20160222,95.640,96.040,94.610,95.110,902482.000
20160223,94.790,95.500,92.930,93.590,1325842.000
20160224,93.470,94.620,92.870,94.330,799530.000
20160225,95.030,96.900,94.630,96.890,1388561.000
20160226,96.900,98.250,96.560,97.510,943914.000
20160229,97.500,98.220,96.660,96.710,1085194.000
20160301,97.000,97.727,95.440,97.400,1430743.000
20160302,97.430,98.000,96.530,97.400,971130.000
20160303,97.020,99.065,97.000,98.880,1145570.000
20160304,98.080,99.830,97.800,99.270,1034863.000
20160307,98.420,100.730,98.370,100.580,1404870.000
20160308,100.000,101.238,99.420,100.560,1146076.000
20160309,100.650,101.230,100.060,100.370,700194.000
20160310,101.550,101.550,100.420,100.890,1776261.000
20160311,101.860,104.580,101.860,104.550,1846755.000
20160314,104.000,105.480,103.760,105.040,1739478.000
20160315,104.280,105.060,104.100,104.360,1142938.000
20160316,104.100,105.090,103.330,104.290,859645.000
20160317,104.010,104.940,102.873,103.600,655862.000
20160318,103.650,104.720,103.220,104.480,1017730.000
20160321,104.160,104.780,103.290,104.360,645341.000
20160322,103.350,104.830,103.170,104.450,813332.000
20160323,104.580,105.000,103.790,104.460,866608.000
20160324,103.580,104.310,103.070,103.700,558925.000
