Date,Open,High,Low,Close,Volume
20160104,26.484,26.833,26.155,26.634,3287035.183
20160105,26.693,26.773,26.165,26.344,2611730.941
20160106,25.866,25.926,25.397,25.577,3953084.309
20160107,24.889,25.387,24.739,24.799,4136735.226
20160108,25.108,25.143,24.475,24.520,3252163.458
20160111,24.719,24.769,23.931,24.031,4550383.842
20160112,24.350,24.450,23.373,23.931,4203065.437
20160113,24.091,24.091,22.540,22.834,6172030.530
20160114,23.034,23.223,22.276,22.914,5261765.916
20160115,22.007,22.356,21.768,22.276,6020473.560
20160119,22.635,22.635,21.648,21.877,3814088.278
20160120,21.349,21.648,20.631,21.409,5294682.580
20160121,21.409,21.723,20.950,21.020,4469056.078
20160122,21.498,21.683,21.159,21.448,3469746.505
20160125,21.299,21.369,20.272,20.332,4571780.593
20160126,20.850,21.698,20.681,21.189,6781851.196
20160127,21.099,22.495,20.960,21.708,6150645.497
20160128,22.067,22.855,21.957,22.087,5252814.157
20160129,22.166,22.635,22.027,22.615,4432917.029
20160201,22.485,22.585,22.201,22.431,2839227.747
20160202,22.236,22.306,21.259,21.468,4205170.250
20160203,21.698,21.777,20.721,21.713,4522978.482
20160204,21.678,22.500,21.578,21.997,4919593.573
20160205,22.087,22.316,21.498,21.558,2977758.934
20160208,21.189,21.379,20.352,20.661,4716430.017
20160209,20.421,20.920,20.102,20.721,4267196.781
20160210,20.880,21.379,20.671,20.681,3879776.090
20160211,20.062,20.172,19.594,19.843,4475914.586
20160212,20.352,21.189,20.142,20.920,4062998.413
20160216,21.340,21.905,20.980,21.680,3371588.000
20160217,22.020,22.290,21.500,21.590,3041266.000
20160218,21.680,21.890,21.030,21.170,3524406.000
20160219,21.060,21.530,20.950,21.400,2198057.000
20160222,21.650,22.245,21.630,22.205,3978290.000
20160223,22.060,22.110,21.100,21.200,3840917.000
20160224,20.690,20.990,20.070,20.680,5758848.000
20160225,20.790,21.250,20.490,21.240,3741092.000
20160226,21.550,22.090,21.350,21.760,3916391.000
20160229,21.720,21.830,21.310,21.320,2723203.000
20160301,21.460,22.640,21.400,22.320,3829990.000
20160302,22.360,22.880,22.300,22.840,2218199.000
20160303,22.800,23.570,22.670,23.550,3041506.000
20160304,23.780,24.625,23.670,24.330,7367816.000
20160307,24.100,24.610,23.970,24.450,2880158.000
20160308,24.120,24.370,23.540,23.680,2957381.000
20160309,23.950,24.040,23.410,23.590,2570137.000
20160310,23.840,24.230,23.430,24.140,3673048.000
20160311,24.410,24.970,24.410,24.930,3086843.000
20160314,24.650,25.020,24.420,24.830,2270020.000
20160315,24.500,24.860,24.360,24.830,2759861.000
20160316,24.730,25.210,24.320,24.820,3406825.000
20160317,24.740,25.090,24.380,25.000,2808784.000
20160318,24.920,25.580,24.920,25.210,3109783.000
20160321,25.220,25.600,25.010,25.390,2114843.000
20160322,24.930,25.560,24.910,25.350,1812190.000
20160323,25.240,25.320,24.850,24.940,1939164.000
20160324,24.670,25.080,24.185,25.010,2711849.000
